grassNum,grassEn,grassRe,grassFa,wolfNum,wolfEn,wolfRe,wolfFa,rabbitNum,rabbitEn,rabbitRe,rabbitFa
34,82.0,125.1,0.0,8,280.6,334.6,32.0,26,31.2,34.4,6.8
26,92.4,125.2,0.2,8,284.2,334.6,32.0,35,31.7,39.0,5.9
20,101.5,124.2,0.2,9,247.3,334.2,31.6,33,37.2,41.2,6.1
21,101.2,122.7,1.0,9,220.6,334.2,31.6,41,30.5,42.6,6.2
23,92.8,125.2,1.1,9,214.9,334.2,31.6,41,29.1,43.8,6.0
33,92.9,127.7,0.9,10,197.0,334.0,31.3,33,26.1,44.4,6.0
44,91.4,127.6,1.0,10,177.8,334.0,31.3,28,34.2,45.3,5.6
51,89.9,128.7,0.9,9,192.9,334.5,30.7,29,35.9,46.1,5.7
53,95.6,129.8,0.8,10,156.1,334.7,30.3,38,37.1,46.7,5.8
57,94.1,128.8,1.0,8,178.5,334.5,29.3,44,37.6,47.5,5.9
58,95.8,128.7,1.1,8,177.8,334.5,29.3,49,41.0,47.1,6.1
59,96.4,128.4,1.0,8,153.7,334.5,29.3,57,43.6,46.7,6.2
64,93.6,129.1,1.1,8,147.5,334.5,29.3,71,40.1,48.4,6.1
60,95.3,129.5,1.3,7,153.5,335.0,29.4,83,39.3,48.5,6.2
60,99.4,130.1,1.3,7,181.9,336.4,27.8,91,37.7,47.6,6.1
58,100.4,129.8,1.5,7,179.6,336.4,27.8,106,37.1,47.9,6.2
48,98.7,129.7,1.9,7,195.0,336.4,27.8,114,36.9,47.6,6.0
36,102.6,129.0,2.1,7,218.5,336.4,27.8,124,37.6,46.7,5.9
33,98.7,128.7,2.0,7,238.8,336.4,27.8,131,35.7,45.9,5.9
33,99.7,130.4,2.3,8,243.8,336.2,27.7,135,32.3,45.0,5.8
32,104.2,131.7,2.1,9,259.5,336.2,27.5,133,31.4,44.8,5.8
33,99.7,132.0,2.0,10,249.1,336.2,27.5,137,28.1,45.5,5.8
31,94.1,130.6,2.0,12,230.6,336.2,27.4,130,29.5,44.8,5.8
26,92.7,131.1,2.2,13,236.7,335.8,27.4,114,32.6,46.4,5.8
32,90.1,131.2,1.6,14,236.8,335.9,27.3,106,31.4,46.7,5.8
36,90.1,132.0,1.3,14,238.5,335.9,27.3,105,28.6,46.2,5.8
35,92.3,130.6,1.0,16,219.5,335.4,27.4,100,29.7,46.7,5.8
37,96.8,130.9,1.0,16,214.6,335.4,27.4,98,27.9,45.3,5.8
36,101.8,132.0,1.0,16,212.8,335.4,27.4,93,29.9,45.4,5.8
32,98.1,131.6,0.6,16,220.2,334.9,27.0,91,29.2,45.8,5.8
42,91.8,132.2,0.7,17,204.4,334.7,27.1,88,28.3,45.3,5.8
47,89.4,130.9,1.0,18,187.6,334.8,27.0,88,27.7,45.8,5.8
50,91.1,130.7,0.9,18,186.4,334.8,27.0,74,30.1,46.2,5.7
58,91.2,130.2,0.9,19,177.1,334.7,27.1,67,31.5,45.7,5.8
58,98.4,131.0,1.0,18,176.2,334.6,27.1,67,30.6,45.6,5.9
55,96.3,131.1,1.2,19,162.6,334.7,27.1,68,35.8,45.3,5.9
57,101.0,133.0,1.2,19,162.5,334.5,27.2,71,33.7,45.3,5.9
61,101.2,133.1,1.3,19,158.6,334.5,27.2,68,30.4,45.1,6.0
68,99.6,133.5,1.5,19,159.1,334.4,27.3,70,33.9,45.3,5.9
76,98.4,132.4,1.6,20,159.2,334.2,27.3,66,30.8,45.0,5.8
78,92.7,132.6,2.1,21,147.3,334.3,27.3,66,34.7,43.2,5.6
77,98.3,132.6,2.1,18,163.5,334.3,27.3,66,34.3,42.4,5.5
79,102.0,132.3,1.9,17,153.2,334.5,27.3,75,35.2,43.8,5.6
78,104.0,131.7,1.8,16,151.7,334.6,27.3,79,38.1,44.7,5.6
75,103.5,131.5,2.1,16,147.2,334.6,27.3,89,38.5,44.4,5.6
72,106.3,131.9,2.2,15,155.4,334.6,27.3,93,39.6,46.6,5.7
69,104.3,130.8,2.4,15,151.8,334.6,27.3,97,39.4,48.4,5.8
75,100.2,131.5,2.5,13,176.7,334.5,27.4,98,37.0,48.5,5.8
69,99.3,131.2,2.5,12,194.7,334.8,27.2,101,39.3,48.0,5.9
66,97.8,131.8,2.2,12,195.1,334.8,27.2,119,36.5,48.4,5.9
65,98.1,131.0,2.0,12,210.5,334.8,27.2,118,37.0,49.3,5.9
64,96.4,129.9,2.0,12,217.5,334.8,27.1,129,34.7,49.7,6.0
59,99.4,131.0,1.7,12,230.2,334.8,27.1,123,35.4,51.1,6.0
49,100.9,130.4,1.5,14,214.4,334.8,27.1,125,37.5,52.2,6.1
52,95.4,130.5,1.4,15,210.0,334.8,27.1,128,35.2,52.1,6.2
51,98.2,130.0,1.1,15,224.9,334.8,27.1,117,35.6,51.9,6.3
50,99.1,130.2,1.1,15,232.4,334.9,27.1,120,31.7,52.4,6.4
45,98.7,131.3,1.2,16,217.7,335.0,27.1,119,33.9,52.6,6.4
43,94.3,130.6,1.7,17,219.8,334.8,27.1,112,30.8,51.9,6.5
47,95.8,130.8,1.7,19,196.9,334.7,27.2,111,32.0,52.3,6.6
57,88.4,130.6,1.9,21,190.6,334.2,27.3,106,30.5,52.2,6.6
47,94.1,131.8,2.3,21,187.0,334.2,27.3,94,32.9,52.7,6.7
48,95.0,132.1,1.8,23,178.0,334.0,27.4,81,34.9,53.8,6.8
51,101.9,131.6,1.7,23,180.8,334.0,27.4,77,32.4,52.4,6.6
50,97.3,132.0,1.7,24,172.6,334.2,27.4,68,37.4,51.8,6.2
59,95.7,130.7,1.4,25,155.7,334.1,27.4,67,35.2,51.8,6.1
60,93.8,131.4,1.1,25,153.3,333.5,27.6,70,36.3,51.5,6.0
67,92.5,130.5,1.0,21,163.5,333.7,27.7,64,38.6,52.8,5.7
74,94.4,130.4,1.0,21,154.2,333.7,27.6,54,37.7,54.3,5.6
87,96.1,129.7,1.0,21,132.9,333.7,27.6,57,34.9,53.1,5.6
99,98.1,129.3,1.1,21,114.5,333.7,27.6,60,32.4,52.8,5.5
108,97.6,129.3,1.4,18,114.3,333.6,27.6,61,35.5,52.8,5.5
116,101.1,129.4,1.4,16,109.0,333.4,27.6,67,31.8,50.6,5.5
117,101.6,129.4,1.5,15,102.8,333.2,27.6,69,35.7,50.8,5.5
122,104.2,128.7,1.5,13,114.5,332.7,27.7,75,34.6,49.8,5.5
128,103.2,128.3,1.7,12,118.8,332.2,27.7,81,34.5,50.4,5.5
