year,lat,long,name,energy
1,5,2,debris,37.0
1,-6,7,rabbit,27.0
1,6,4,grass,79.0
1,-10,0,rabbit,63.0
1,3,1,wolf,311.8
1,2,0,rabbit,57.1
1,6,2,grass,67.0
1,9,2,rabbit,52.9
1,1,-10,rabbit,45.9
1,0,-5,debris,34.0
1,-7,0,debris,56.0
1,-2,0,rabbit,22.0
1,-4,1,debris,15.0
1,4,-6,grass,117.0
1,1,8,debris,38.0
1,4,1,rabbit,26.0
1,-1,-1,grass,109.0
1,-3,-7,debris,10.0
1,3,-2,grass,100.0
1,3,3,rabbit,37.1
1,0,5,rabbit,19.5
1,4,4,grass,95.0
1,-2,5,debris,38.0
1,-4,-5,grass,51.0
1,4,2,debris,19.0
1,-9,4,debris,56.0
1,0,-9,debris,54.0
1,7,3,debris,56.0
1,11,-5,wolf,224.0
1,3,10,debris,25.0
1,-1,5,debris,11.0
1,-4,-8,grass,111.0
1,4,-1,grass,77.0
1,2,3,debris,25.0
1,2,7,debris,21.0
1,4,-2,debris,40.0
1,-4,-1,rabbit,60.0
1,5,7,debris,43.0
1,4,0,grass,118.0
1,-8,5,rabbit,20.0
1,0,-7,debris,27.0
1,-4,-9,debris,30.0
1,-5,-7,debris,55.0
1,-1,8,debris,73.0
1,3,2,rabbit,41.3
1,1,5,grass,88.0
1,0,1,grass,85.0
1,3,-10,debris,50.0
1,0,-2,debris,40.0
1,-5,0,debris,26.0
1,-1,1,rabbit,47.4
1,-4,5,rabbit,51.5
1,7,-2,grass,119.0
1,-5,3,rabbit,31.8
1,2,-2,debris,61.0
1,-5,1,rabbit,54.9
1,9,1,rabbit,26.5
1,3,-11,wolf,295.0
1,-6,0,debris,66.0
1,2,5,grass,90.0
1,-3,2,grass,80.0
1,3,-5,grass,58.0
1,1,6,debris,43.0
1,0,-6,grass,68.0
1,-1,-6,rabbit,52.0
1,-5,9,debris,50.0
1,1,-2,debris,36.0
1,-6,-4,grass,67.0
1,-9,2,debris,84.0
1,0,-8,grass,80.0
1,5,0,debris,44.0
1,1,1,debris,26.0
1,-3,1,debris,37.0
1,4,-4,debris,49.0
1,-2,4,debris,60.0
1,-7,1,debris,41.0
1,2,4,debris,51.0
1,0,0,debris,12.0
1,5,-10,debris,36.0
1,3,-9,wolf,256.0
1,-2,3,debris,50.0
1,5,1,rabbit,53.2
1,0,-4,debris,41.0
1,6,-14,grass,82.0
1,-3,0,debris,46.0
1,-1,0,grass,61.0
1,3,-3,debris,44.0
1,2,11,grass,69.0
1,2,-1,debris,41.0
1,7,-3,debris,45.0
1,-2,-3,wolf,283.0
1,8,0,debris,34.0
1,-1,3,rabbit,36.8
1,-7,-3,debris,69.0
1,5,8,debris,55.0
1,-2,6,debris,38.0
1,6,-2,grass,73.0
1,10,3,grass,61.0
1,-5,2,debris,45.0
1,0,-10,rabbit,22.5
1,-2,-5,grass,124.0
1,2,6,debris,49.0
1,-3,9,debris,10.0
1,-4,2,debris,45.0
1,-15,0,grass,68.0
1,10,-1,debris,93.0
1,7,-12,wolf,231.0
1,1,0,debris,36.0
1,0,4,rabbit,47.7
1,6,-1,grass,78.0
1,-1,-2,debris,29.0
1,10,1,debris,77.0
1,8,1,grass,84.0
1,4,6,grass,116.0
1,1,2,grass,60.0
1,1,4,rabbit,38.1
1,-4,-4,grass,95.0
1,-1,-5,rabbit,75.3
1,0,9,debris,44.0
1,-6,1,rabbit,29.0
1,-3,-4,debris,47.0
1,-1,-4,rabbit,38.5
1,-6,-6,debris,40.0
1,4,-7,wolf,243.0
1,0,2,rabbit,17.5
1,7,14,rabbit,21.0
1,6,-8,rabbit,28.0
1,-5,4,wolf,237.0
1,0,3,rabbit,40.0
1,0,-3,debris,57.0
1,6,0,debris,15.0
1,9,4,grass,73.0
1,-6,3,rabbit,23.6
1,-10,-6,debris,42.0
1,0,8,debris,27.0
1,-4,-3,grass,90.0
1,-9,-2,debris,32.0
1,3,0,rabbit,29.5
1,3,4,rabbit,18.0
1,-1,2,debris,52.0
1,-2,10,grass,56.0
2,6,4,grass,89.0
2,-10,0,rabbit,31.5
2,3,1,rabbit,51.7
2,9,3,rabbit,52.2
2,6,2,grass,77.0
2,9,2,rabbit,52.5
2,0,4,rabbit,32.0
2,4,-6,grass,127.0
2,4,1,rabbit,13.0
2,3,3,rabbit,28.2
2,-6,2,rabbit,48.5
2,-2,5,debris,48.0
2,-4,-5,grass,61.0
2,-6,4,rabbit,24.8
2,7,3,debris,66.0
2,3,10,debris,35.0
2,-1,5,debris,21.0
2,5,-7,wolf,215.0
2,-4,-8,grass,121.0
2,2,-2,debris,71.0
2,2,7,debris,31.0
2,4,-2,debris,50.0
2,5,7,debris,53.0
2,2,11,grass,79.0
2,8,0,debris,44.0
2,0,-7,debris,37.0
2,5,2,debris,47.0
2,-7,4,rabbit,15.0
2,-1,4,rabbit,31.8
2,4,-10,wolf,224.0
2,7,-2,grass,129.0
2,-5,0,debris,36.0
2,-4,5,wolf,249.9
2,3,5,rabbit,37.6
2,3,-5,grass,68.0
2,-1,-6,rabbit,26.0
2,1,-2,debris,46.0
2,2,-10,wolf,315.0
2,2,1,wolf,352.5
2,-3,1,debris,47.0
2,4,-4,debris,59.0
2,-9,4,debris,66.0
2,-7,1,debris,51.0
2,-5,6,rabbit,18.1
2,0,0,debris,22.0
2,-1,8,debris,83.0
2,1,1,debris,36.0
2,0,-4,debris,51.0
2,10,1,debris,87.0
2,4,5,rabbit,71.3
2,3,-3,debris,54.0
2,-4,-3,grass,100.0
2,-2,6,debris,48.0
2,-5,2,debris,55.0
2,-4,2,debris,55.0
2,-15,0,grass,78.0
2,10,-1,debris,46.5
2,7,15,rabbit,16.0
2,8,1,rabbit,34.2
2,1,2,rabbit,52.5
2,-4,-4,grass,105.0
2,6,0,debris,25.0
2,9,4,grass,83.0
2,-10,-6,debris,52.0
2,-2,1,rabbit,47.7
2,-1,2,debris,62.0
2,1,8,debris,48.0
2,5,-9,rabbit,20.0
2,0,-9,debris,64.0
2,-7,0,debris,66.0
2,-4,1,debris,25.0
2,-1,-1,grass,119.0
2,3,-2,grass,110.0
2,1,0,debris,46.0
2,4,4,rabbit,42.3
2,4,2,debris,29.0
2,-7,2,rabbit,23.0
2,0,-2,debris,50.0
2,4,-1,grass,87.0
