stat,value,year
grassNum,155.0,0
grassEn,81.7,0
grassRe,129.3,0
grassFa,0.0,0
KDFwolfNum,15.0,0
KDFwolfEn,262.1,0
KDFwolfRe,549.1,0
KDFwolfFa,5.7,0
008rabbitNum,24.0,0
008rabbitEn,30.0,0
008rabbitRe,30.9,0
008rabbitFa,7.2,0
KDFrabbitNum,46.0,0
KDFrabbitEn,23.6,0
KDFrabbitRe,348.9,0
KDFrabbitFa,6.6,0
008wolfNum,1.0,0
008wolfEn,952.0,0
008wolfRe,1035.0,0
008wolfFa,5.0,0
2UDrabbitNum,9.0,0
2UDrabbitEn,26.6,0
2UDrabbitRe,23.9,0
2UDrabbitFa,6.8,0
2UDwolfNum,1.0,0
2UDwolfEn,2009.0,0
2UDwolfRe,2255.0,0
2UDwolfFa,5.0,0
grassNum,112.0,1
grassEn,91.3,1
grassRe,129.7,1
grassFa,0.1,1
KDFwolfNum,15.0,1
KDFwolfEn,275.8,1
KDFwolfRe,549.1,1
KDFwolfFa,5.7,1
008rabbitNum,33.0,1
008rabbitEn,28.4,1
008rabbitRe,36.7,1
008rabbitFa,7.0,1
KDFrabbitNum,31.0,1
KDFrabbitEn,78.3,1
KDFrabbitRe,348.3,1
KDFrabbitFa,6.7,1
008wolfNum,1.0,1
008wolfEn,947.0,1
008wolfRe,1035.0,1
008wolfFa,5.0,1
2UDrabbitNum,11.0,1
2UDrabbitEn,34.8,1
2UDrabbitRe,35.4,1
2UDrabbitFa,6.7,1
2UDwolfNum,1.0,1
2UDwolfEn,2004.0,1
2UDwolfRe,2255.0,1
2UDwolfFa,5.0,1
grassNum,107.0,2
grassEn,96.0,2
grassRe,129.1,2
grassFa,0.1,2
KDFwolfNum,15.0,2
KDFwolfEn,295.5,2
KDFwolfRe,549.1,2
KDFwolfFa,5.7,2
008rabbitNum,36.0,2
008rabbitEn,26.1,2
008rabbitRe,39.0,2
008rabbitFa,7.3,2
KDFrabbitNum,24.0,2
KDFrabbitEn,109.3,2
KDFrabbitRe,347.8,2
KDFrabbitFa,7.1,2
008wolfNum,1.0,2
008wolfEn,942.0,2
008wolfRe,1035.0,2
008wolfFa,5.0,2
2UDrabbitNum,13.0,2
2UDrabbitEn,35.4,2
2UDrabbitRe,43.0,2
2UDrabbitFa,7.1,2
2UDwolfNum,1.0,2
2UDwolfEn,1999.0,2
2UDwolfRe,2255.0,2
2UDwolfFa,5.0,2
grassNum,114.0,3
grassEn,101.3,3
grassRe,129.9,3
grassFa,0.2,3
KDFwolfNum,15.0,3
KDFwolfEn,305.0,3
KDFwolfRe,549.1,3
KDFwolfFa,5.7,3
008rabbitNum,32.0,3
008rabbitEn,25.1,3
008rabbitRe,40.4,3
008rabbitFa,7.2,3
KDFrabbitNum,20.0,3
KDFrabbitEn,123.4,3
KDFrabbitRe,346.8,3
KDFrabbitFa,7.0,3
008wolfNum,1.0,3
008wolfEn,937.0,3
008wolfRe,1035.0,3
008wolfFa,5.0,3
2UDrabbitNum,13.0,3
2UDrabbitEn,32.5,3
2UDrabbitRe,46.5,3
2UDrabbitFa,7.1,3
2UDwolfNum,1.0,3
2UDwolfEn,1994.0,3
2UDwolfRe,2255.0,3
2UDwolfFa,5.0,3
grassNum,156.0,4
grassEn,100.3,4
grassRe,129.9,4
grassFa,0.2,4
KDFwolfNum,15.0,4
KDFwolfEn,319.4,4
KDFwolfRe,549.1,4
KDFwolfFa,5.7,4
008rabbitNum,27.0,4
008rabbitEn,24.5,4
008rabbitRe,45.7,4
008rabbitFa,6.9,4
KDFrabbitNum,18.0,4
KDFrabbitEn,114.4,4
KDFrabbitRe,346.8,4
KDFrabbitFa,7.2,4
008wolfNum,1.0,4
008wolfEn,932.0,4
008wolfRe,1035.0,4
008wolfFa,5.0,4
2UDrabbitNum,12.0,4
2UDrabbitEn,33.2,4
2UDrabbitRe,52.2,4
2UDrabbitFa,6.5,4
2UDwolfNum,1.0,4
2UDwolfEn,1989.0,4
2UDwolfRe,2255.0,4
2UDwolfFa,5.0,4
grassNum,222.0,5
grassEn,97.5,5
grassRe,130.1,5
grassFa,0.4,5
KDFwolfNum,15.0,5
KDFwolfEn,313.6,5
