labels,variable,value
1,deadWorld,40.25
1,debrisNum,6.25
1,grassNum,24.25
1,rabbitEn,73.0
1,rabbitFa,8.875
1,rabbitNum,14.875
1,rabbitRe,96.2
1,wolfEn,292.75
1,wolfFa,18.5
1,wolfNum,3.75
1,wolfRe,399.625
2,deadWorld,28.5
2,debrisNum,5.875
2,grassNum,22.25
2,rabbitEn,64.875
2,rabbitFa,10.5
2,rabbitNum,15.625
2,rabbitRe,103.125
2,wolfEn,293.875
2,wolfFa,20.125
2,wolfNum,1.875
2,wolfRe,392.375
3,deadWorld,73.25
3,debrisNum,11.0
3,grassNum,21.125
3,rabbitEn,66.875
3,rabbitFa,6.875
3,rabbitNum,16.5
3,rabbitRe,100.625
3,wolfEn,299.625
3,wolfFa,19.5
3,wolfNum,3.0
3,wolfRe,401.125
4,deadWorld,133.375
4,debrisNum,13.0
4,grassNum,22.625
4,rabbitEn,85.0
4,rabbitFa,5.75
4,rabbitNum,18.375
4,rabbitRe,113.5
4,wolfEn,285.5
4,wolfFa,8.25
4,wolfNum,6.75
4,wolfRe,382.125
5,deadWorld,191.0
5,debrisNum,21.5
5,grassNum,14.5
5,rabbitEn,97.5
5,rabbitFa,5.0
5,rabbitNum,23.5
5,rabbitRe,120.5
5,wolfEn,272.5
5,wolfFa,5.0
5,wolfNum,9.25
5,wolfRe,396.25
6,deadWorld,282.75
6,debrisNum,29.5
6,grassNum,7.5
6,rabbitEn,137.5
6,rabbitFa,5.0
6,rabbitNum,31.5
6,rabbitRe,151.25
6,wolfEn,232.5
6,wolfFa,5.0
6,wolfNum,10.5
6,wolfRe,400.0
7,deadWorld,278.5
7,debrisNum,37.5
7,grassNum,1.375
7,rabbitEn,177.5
7,rabbitFa,5.0
7,rabbitNum,39.5
7,rabbitRe,195.5
7,wolfEn,192.5
7,wolfFa,5.0
7,wolfNum,17.75
7,wolfRe,390.0
8,deadWorld,367.125
8,debrisNum,45.5
8,grassNum,1.0
8,rabbitEn,217.5
8,rabbitFa,5.0
8,rabbitNum,47.5
8,rabbitRe,239.375
8,wolfEn,152.5
8,wolfFa,5.0
8,wolfNum,17.5
8,wolfRe,417.5
9,deadWorld,377.875
9,debrisNum,53.5
9,grassNum,1.0
9,rabbitEn,257.5
9,rabbitFa,5.0
9,rabbitNum,55.5
9,rabbitRe,283.25
9,wolfEn,113.125
9,wolfFa,5.0
9,wolfNum,19.5
9,wolfRe,457.5
10,deadWorld,258.6666666666667
10,debrisNum,59.0
10,grassNum,1.0
10,rabbitEn,285.0
10,rabbitFa,5.0
10,rabbitNum,61.0
10,rabbitRe,313.6666666666667
10,wolfEn,100.0
10,wolfFa,5.0
10,wolfNum,20.0
10,wolfRe,485.0
