years,firstExt,firstExtSTD,deadWorld,deadWorldSTD,id,wolfEn,wolfRe,wolfFa,rabbitEn,rabbitRe,rabbitFa,wolfNum,rabbitNum,grassNum,debrisNum
500, 15.0, 0.0, 15.0, 0.0, 'C0Q89E', 299, 394, 30, 61, 97, 12, 4, 13, 9, 1
500, 15.0, 0.0, 15.0, 0.0, 'RXEWSL', 279, 377, 17, 74, 95, 8, 8, 12, 29, 1
500, 108.0, 0.0, 108.0, 0.0, 'WK99RR', 289, 418, 12, 76, 83.60000000000001, 8, 9, 18, 36, 10
500, 18.0, 0.0, 18.0, 0.0, 'AL2NZN', 294, 398, 24, 76, 116, 9, 2, 14, 1, 1
500, 26.0, 0.0, 26.0, 0.0, 'SGA0S4', 291, 403, 19, 63, 83, 7, 1, 18, 29, 1
500, 21.0, 0.0, 21.0, 0.0, 'HS3N5Q', 287, 407, 17, 80, 97, 16, 4, 19, 34, 14
500, 91.0, 0.0, 91.0, 0.0, 'E6F8ZB', 299, 400, 9, 78, 97, 5, 1, 15, 27, 7
500, 28.0, 0.0, 28.0, 0.0, '16RWEI', 304, 400, 20, 76, 101, 6, 1, 10, 29, 15
500, 18.0, 0.0, 18.0, 0.0, 'PP6I4N', 285, 397, 15, 83, 105, 5, 1, 18, 34, 2
500, 36.0, 0.0, 36.0, 0.0, 'F6A8ZD', 286, 395, 21, 67, 94, 13, 1, 15, 21, 7
500, 95.0, 0.0, 95.0, 0.0, 'CFWC7F', 292, 385, 18, 67, 106, 9, 1, 7, 18, 9
500, 16.0, 0.0, 16.0, 0.0, 'OWC0CM', 306, 422, 27, 59, 100, 12, 1, 22, 16, 14
500, 15.0, 0.0, 15.0, 0.0, '41Z5Y7', 278, 384, 15, 51, 101, 12, 4, 16, 38, 1
500, 16.0, 0.0, 16.0, 0.0, '7UWJEB', 306, 389, 30, 78, 131, 10, 5, 22, 13, 1
500, 15.0, 0.0, 15.0, 0.0, 'IEFINI', 301, 386, 25, 54, 95, 9, 1, 12, 21, 9
500, 17.0, 0.0, 17.0, 0.0, 'OYIVRH', 297, 381, 10, 60, 93, 14, 1, 13, 17, 4
500, 289.0, 0.0, 289.0, 0.0, 'HSJQP9', 290, 404, 17, 80, 108, 6, 8, 21, 29, 22
500, 22.0, 0.0, 22.0, 0.0, 'O2EGIH', 305, 395, 23, 68, 100, 5, 1, 8, 21, 22
500, 22.0, 0.0, 22.0, 0.0, 'JE01Z4', 304, 424, 23, 62, 108, 7, 1, 10, 28, 23
500, 22.0, 0.0, 22.0, 0.0, 'PEKI84', 297, 413, 18, 55, 97, 5, 3, 22, 16, 1
500, 31.0, 0.0, 31.0, 0.0, '0NXJU5', 303, 382, 17, 59, 87, 8, 1, 24, 21, 6
500, 19.0, 0.0, 19.0, 0.0, 'ZSY4QD', 312, 386, 23, 78, 99, 9, 4, 18, 16, 1
500, 157.0, 0.0, 157.0, 0.0, 'HZ1BA9', 289, 405, 14, 65, 98, 10, 2, 13, 17, 12
500, 24.0, 0.0, 24.0, 0.0, '8CYRQ3', 297, 400, 21, 68, 108, 5, 4, 16, 21, 1
500, 41.0, 0.0, 41.0, 0.0, '484Y74', 294, 367, 16, 80, 98, 11, 5, 9, 34, 6
500, 46.0, 0.0, 46.0, 0.0, 'WB30JW', 295, 395, 15, 75, 105, 5, 4, 17, 24, 11
500, 500.0, 0.0, 500.0, 0.0, 'J8AHQD', 290, 390, 10, 80, 110, 5, 5, 18, 23, 12
500, 90.0, 0.0, 90.0, 0.0, 'XYY25I', 285, 385, 5, 85, 115, 5, 6, 19, 22, 13
500, 89.0, 0.0, 89.0, 0.0, 'M46WF2', 280, 380, 5, 90, 120, 5, 7, 20, 21, 14
500, 24.0, 0.0, 24.0, 0.0, '1C2SR2', 275, 375, 5, 95, 115, 5, 8, 21, 20, 15
500, 102.0, 0.0, 102.0, 0.0, 'MMDYAB', 280, 380, 5, 90, 120, 5, 9, 22, 19, 16
500, 175.0, 0.0, 175.0, 0.0, 'FGPRSS', 285, 385, 5, 85, 125, 5, 10, 21, 18, 17
500, 29.0, 0.0, 29.0, 0.0, 'JCQL3U', 290, 390, 5, 80, 130, 5, 11, 20, 17, 18
500, 32.0, 0.0, 32.0, 0.0, 'A5PWJI', 285, 395, 5, 85, 125, 5, 12, 21, 16, 19
500, 105.0, 0.0, 105.0, 0.0, 'J49Y0L', 280, 400, 5, 90, 120, 5, 11, 22, 15, 20
500, 82.0, 0.0, 82.0, 0.0, '668J9Z', 275, 405, 5, 95, 115, 5, 10, 23, 14, 21
500, 500.0, 0.0, 500.0, 0.0, '4AHMXT', 270, 400, 5, 100, 110, 5, 9, 24, 15, 22
500, 500.0, 0.0, 500.0, 0.0, 'SOFEH4', 265, 395, 5, 105, 116.0, 5, 8, 25, 14, 23
500, 120.0, 0.0, 120.0, 0.0, 'VG2ZTS', 260, 390, 5, 110, 121.0, 5, 7, 26, 13, 24
500, 160.0, 0.0, 160.0, 0.0, 'TMQNSU', 255, 395, 5, 115, 127.0, 5, 6, 27, 12, 25
