year,lat,long,name,energy
1,-2,9,grass,85.0
1,-4,0,rabbit,63.6
1,-5,-5,grass,119.0
1,-4,-2,grass,61.0
1,0,0,rabbit,136.5
1,-7,4,rabbit,47.0
1,3,0,grass,73.0
1,1,5,grass,91.0
1,-7,-3,grass,95.0
1,6,-2,rabbit,134.0
1,4,1,grass,55.0
1,-10,-1,rabbit,107.8
1,12,1,grass,102.0
1,-2,1,rabbit,116.0
1,-4,2,rabbit,124.0
1,3,-6,rabbit,122.5
1,-3,-2,rabbit,61.0
1,-7,6,grass,115.0
1,-4,9,rabbit,38.0
1,14,14,debris,-44.0
1,-8,5,grass,107.0
1,5,0,grass,76.0
1,-4,3,rabbit,77.0
1,4,5,wolf,299.0
1,-1,5,rabbit,97.0
1,1,7,grass,84.0
1,-4,-1,rabbit,50.5
1,1,4,wolf,346.0
1,-3,6,grass,52.0
1,-9,-1,rabbit,53.0
1,-4,-5,grass,49.0
1,-2,-3,grass,132.0
1,6,2,grass,119.0
1,-1,-2,rabbit,115.0
1,-1,-6,grass,108.0
1,1,2,grass,99.0
1,9,0,grass,111.0
1,2,-3,rabbit,60.0
1,-5,2,rabbit,56.5
1,-8,-8,rabbit,41.0
1,-6,-5,grass,119.0
1,-13,-1,grass,112.0
1,7,-1,grass,70.0
1,-8,-3,grass,73.0
1,-5,-2,rabbit,62.0
1,-8,3,grass,83.0
1,-9,-2,grass,68.0
1,9,9,grass,54.0
1,9,-7,rabbit,45.0
1,2,-2,rabbit,44.0
1,-1,0,grass,66.0
1,5,3,grass,98.0
1,-8,0,rabbit,81.0
1,6,7,grass,89.0
2,-2,9,grass,95.0
2,-5,-5,grass,129.0
2,-4,-2,rabbit,96.5
2,0,0,rabbit,68.2
2,3,0,grass,83.0
2,1,5,grass,101.0
2,3,-5,rabbit,75.2
2,-7,-3,grass,105.0
2,6,-2,rabbit,67.0
2,-1,1,rabbit,66.6
2,4,1,grass,65.0
2,-7,7,grass,104.9
2,3,-1,rabbit,34.0
2,12,1,grass,112.0
2,-2,1,rabbit,58.0
2,-4,2,rabbit,62.0
2,3,-6,rabbit,61.2
2,-8,-1,rabbit,41.0
2,-7,6,grass,57.5
2,2,3,wolf,333.0
2,14,14,debris,-34.0
2,-5,0,rabbit,54.7
2,-8,5,grass,117.0
2,5,0,grass,86.0
2,3,-3,rabbit,52.0
2,8,-8,rabbit,37.0
2,-1,5,rabbit,48.5
2,1,7,grass,94.0
2,-4,-1,rabbit,57.0
2,-8,2,rabbit,15.5
2,0,6,rabbit,54.2
2,-3,6,grass,62.0
2,-4,-5,grass,59.0
2,-2,-3,rabbit,186.0
2,6,2,grass,129.0
2,-1,-6,grass,118.0
2,1,2,grass,109.0
2,9,0,grass,121.0
2,-10,-2,rabbit,107.3
2,-6,-5,grass,129.0
2,-4,4,rabbit,63.0
2,-13,-1,grass,122.0
2,7,-1,grass,80.0
2,-8,-3,grass,83.0
2,-9,-9,rabbit,33.0
2,-8,3,rabbit,44.2
2,3,4,wolf,283.0
2,0,1,rabbit,76.2
2,-9,-2,rabbit,70.9
2,9,9,grass,64.0
2,-8,1,rabbit,76.0
2,7,-2,rabbit,77.4
2,-1,0,grass,76.0
2,-5,1,rabbit,80.9
2,-4,10,rabbit,28.0
2,-5,3,rabbit,42.5
2,5,3,grass,108.0
2,-4,0,rabbit,42.5
2,6,7,grass,99.0
3,-5,-5,grass,139.0
3,3,0,rabbit,80.5
3,-4,3,rabbit,28.5
3,-7,-3,grass,115.0
3,4,1,grass,75.0
3,-9,2,rabbit,39.2
3,-7,6,grass,67.5
