year,lat,long,name,energy
1,-9,0,grass,138.3
1,-10,0,grass,69.5
1,-9,-5,grass,41.0
1,-12,-11,wolf,278.0
1,-2,9,debris,39.0
1,-5,-2,rabbit,40.1
1,-7,-2,rabbit,27.0
1,2,-1,grass,110.0
1,-6,1,grass,102.0
1,-4,8,rabbit,24.5
1,15,-3,debris,23.0
1,-5,-1,rabbit,21.5
1,10,11,debris,22.0
1,-1,-11,grass,100.0
1,0,-3,rabbit,20.0
1,-1,6,rabbit,37.7
1,7,4,wolf,281.5
1,-2,-6,grass,113.0
1,5,-6,grass,104.0
1,-2,-19,debris,24.0
1,-2,3,grass,77.0
1,-3,21,debris,64.0
1,2,1,wolf,350.5
1,-1,5,rabbit,19.0
1,2,-7,wolf,281.0
1,-4,-9,rabbit,16.0
1,7,1,rabbit,23.6
1,15,12,debris,67.0
1,-7,13,debris,17.0
1,9,-4,grass,106.0
1,-1,-10,debris,40.0
1,4,5,grass,72.0
1,6,-4,grass,74.0
1,0,4,rabbit,15.5
1,2,7,debris,38.0
1,0,-2,rabbit,39.0
1,-8,-4,grass,95.0
1,3,11,debris,53.0
1,-2,2,grass,97.0
1,4,-11,grass,110.0
1,0,2,rabbit,62.5
1,-1,-5,debris,9.0
1,2,4,debris,11.0
1,13,8,debris,59.0
1,-1,-7,grass,90.0
1,-1,2,wolf,331.2
1,-6,-2,grass,50.0
1,8,3,grass,112.0
1,11,-2,wolf,303.0
1,-3,8,rabbit,49.0
1,1,6,debris,-11.0
1,1,4,debris,51.0
1,0,-13,debris,24.0
1,-4,2,debris,49.0
1,-8,1,grass,82.0
1,-1,7,rabbit,29.5
1,7,9,grass,99.0
1,-6,0,grass,113.0
1,1,5,grass,96.0
1,-3,-12,grass,76.0
1,1,3,rabbit,32.2
1,-2,4,grass,86.0
1,2,3,grass,91.0
1,-3,-11,grass,90.0
1,12,12,debris,22.0
1,-1,3,grass,92.0
1,0,-1,grass,89.0
1,-7,3,grass,114.0
1,6,22,debris,37.0
1,-1,-6,debris,21.0
1,-4,-3,debris,39.0
1,-2,1,grass,108.0
1,-6,-1,grass,115.0
1,1,-1,debris,51.0
1,0,7,rabbit,19.0
1,-8,-1,rabbit,13.5
1,-2,-12,debris,64.0
1,1,15,grass,86.0
1,-3,3,grass,102.0
1,-4,9,debris,37.0
1,-5,-10,grass,120.0
1,-1,0,grass,90.0
1,-3,0,debris,37.0
1,-4,-13,debris,15.0
1,6,-5,grass,68.0
1,0,0,grass,86.0
1,5,11,debris,62.0
1,-3,-2,grass,84.0
1,-7,10,debris,53.0
1,-1,-3,grass,58.0
1,-3,-6,grass,84.0
