wolfNum,wolfEn,wolfRe,wolfFa,rabbitNum,rabbitEn,rabbitRe,rabbitFa,grassNum,grassEn,grassRe,grassFa
10,302.0,394.7,6.1,19,105.4,124.5,5.8,32,82.5,130.0,0.0
11,302.9,394.4,6.0,20,103.1,131.1,5.8,27,93.5,131.0,0.0
12,298.4,395.1,6.2,18,108.0,132.2,5.8,23,100.1,130.7,0.2
13,291.3,394.8,6.1,18,87.1,130.6,5.7,23,104.9,130.5,0.7
14,272.9,394.5,6.1,18,84.3,129.8,5.7,24,105.8,131.2,1.0
14,272.8,394.5,6.1,17,86.5,129.5,5.7,26,101.0,130.5,1.3
14,276.7,394.5,6.1,15,95.6,130.6,5.8,21,113.3,131.7,1.7
15,261.8,394.4,6.0,16,87.2,132.9,5.5,31,97.0,131.4,1.9
15,269.3,394.4,6.0,13,88.6,134.3,5.6,36,94.1,130.9,2.2
15,269.5,394.4,6.0,15,76.9,133.1,5.5,36,96.6,130.6,2.2
16,257.3,394.4,5.9,13,79.8,133.1,5.6,40,97.6,130.8,2.1
16,253.5,394.4,5.9,15,72.7,130.8,5.5,40,103.1,131.0,2.4
16,247.6,394.4,5.9,17,72.2,128.8,5.5,41,106.5,130.6,2.4
16,251.7,394.4,5.9,13,85.2,132.0,5.2,43,108.4,131.0,2.4
16,249.9,394.4,5.9,13,84.8,131.1,5.2,56,92.7,130.3,3.0
16,247.7,394.4,5.9,15,63.8,127.6,5.2,64,94.0,130.2,3.0
16,254.9,394.4,5.9,11,63.9,130.6,5.3,71,94.4,130.3,3.1
16,249.0,394.4,5.9,13,60.6,128.1,5.3,72,100.1,130.5,3.1
16,243.0,394.4,5.9,15,71.3,126.3,5.4,75,102.9,130.1,3.0
16,237.1,394.4,5.9,18,75.6,124.3,5.5,77,105.5,130.1,3.0
16,237.0,394.4,5.9,20,65.0,123.3,5.6,87,106.0,129.9,3.0
17,222.9,394.2,5.9,21,64.5,122.9,5.6,98,99.5,129.9,3.3
17,224.9,394.2,5.9,19,65.9,121.7,5.7,113,93.5,129.7,3.5
18,213.2,394.2,5.9,19,64.3,120.7,5.8,120,96.2,129.5,3.6
18,215.5,394.2,5.9,17,55.9,116.0,5.8,129,101.2,129.5,3.6
18,211.8,394.2,5.9,14,63.3,114.2,5.9,140,102.7,129.6,3.7
18,207.3,394.2,5.9,13,70.7,114.4,6.0,152,104.5,129.9,3.7
18,201.4,394.2,5.9,16,53.6,114.5,5.9,168,105.6,129.8,3.8
18,199.0,394.2,5.9,16,63.1,114.6,5.9,183,104.6,129.6,3.9
18,193.1,394.2,5.9,20,55.9,114.8,5.7,200,103.7,129.3,4.0
18,188.0,394.2,5.9,22,66.7,114.9,5.7,207,106.9,129.5,4.1
18,192.9,394.2,5.9,24,56.0,115.2,5.5,219,108.9,129.5,4.2
18,189.6,394.2,5.9,26,74.9,115.7,5.3,218,113.9,129.7,4.2
18,189.2,394.2,5.9,30,67.7,116.0,5.4,230,115.5,129.6,4.2
18,191.5,394.2,5.9,34,70.9,116.0,5.3,240,115.7,129.8,4.2
18,189.3,394.2,5.9,39,70.1,116.2,5.4,245,119.4,129.7,4.2
18,187.3,394.2,5.9,43,70.4,116.4,5.5,253,122.7,129.9,4.2
19,178.5,394.1,5.8,48,70.3,116.5,5.6,255,127.8,129.9,4.3
19,175.8,394.1,5.8,53,74.9,116.5,5.6,261,129.5,129.7,4.2
19,175.6,394.1,5.8,62,74.2,116.6,5.7,264,130.4,129.8,4.2
19,184.8,394.1,5.8,66,81.1,116.5,5.8,258,131.6,129.9,4.3
21,181.3,393.9,5.8,74,74.4,116.6,5.8,249,137.9,129.9,4.3
21,193.9,393.9,5.8,79,70.8,116.6,5.8,246,141.1,130.0,4.4
23,190.1,393.7,5.7,86,70.0,116.6,5.9,239,145.6,130.1,4.3
24,195.7,393.7,5.7,90,70.1,116.6,5.9,235,146.8,130.3,4.3
25,211.3,393.5,5.7,93,63.3,116.6,6.1,235,145.5,130.6,4.3
28,212.1,393.3,5.7,91,72.3,116.7,6.1,220,146.6,130.7,4.4
29,225.9,393.1,5.5,90,70.4,116.7,6.0,214,148.3,130.7,4.5
29,251.0,393.1,5.5,81,66.4,116.8,6.0,206,151.4,130.9,4.4
31,263.0,393.0,5.5,79,71.3,116.8,6.2,186,154.3,130.5,4.4
36,253.4,393.0,5.5,76,73.1,117.0,6.1,173,155.9,130.6,4.5
39,255.2,392.9,5.5,72,70.8,117.0,6.1,170,150.9,130.5,4.5
42,255.0,392.9,5.5,70,69.2,117.1,6.0,172,142.5,130.5,4.5
47,245.7,392.8,5.5,62,75.9,117.2,6.0,169,135.9,131.1,4.4
49,248.4,392.6,5.5,56,72.5,117.4,6.1,164,132.8,131.3,4.3
51,247.6,392.6,5.5,48,77.9,117.4,6.2,159,133.2,131.2,4.4
51,250.7,392.6,5.5,49,76.6,117.3,6.1,155,132.9,131.3,4.3
52,253.3,392.6,5.5,45,80.5,117.4,6.0,151,126.7,131.4,4.4
54,248.7,392.4,5.5,47,80.9,117.2,6.1,150,125.6,131.2,4.5
55,242.5,392.4,5.5,54,83.3,117.3,6.1,147,120.9,131.4,4.4
55,243.1,392.4,5.5,55,86.9,117.0,6.3,137,123.7,132.0,4.2
55,240.3,392.4,5.5,66,78.0,117.0,6.2,136,122.2,132.9,4.1
57,242.3,392.4,5.5,60,75.8,116.8,6.3,127,125.8,133.3,4.0
58,240.5,392.3,5.5,55,71.7,117.0,6.2,132,125.5,133.2,4.0
60,243.1,392.3,5.5,45,59.5,117.0,6.3,138,125.8,133.3,4.0
60,245.4,392.3,5.6,40,50.7,117.2,6.4,141,131.0,133.0,4.0
61,243.1,392.3,5.5,30,44.6,117.3,6.2,146,136.2,133.0,3.9
63,235.6,392.2,5.5,25,36.9,117.9,6.1,155,138.6,132.8,3.9
63,232.2,392.2,5.5,21,32.7,117.7,6.2,168,137.7,132.7,4.0
