year,lat,long,name,energy
1,8,-4,debris,19.0
1,-2,2,grass,81.0
1,3,11,grass,58.0
1,-3,-3,debris,69.0
1,-8,2,debris,13.0
1,3,-9,debris,9.0
1,3,1,debris,80.0
1,-6,-4,debris,37.0
1,0,7,debris,54.0
1,-1,2,debris,52.0
1,-1,0,debris,11.0
1,0,0,grass,117.0
1,0,-2,grass,94.0
1,7,8,grass,67.0
1,-2,5,debris,11.0
1,-9,2,debris,18.0
1,0,-1,grass,43.0
1,1,0,grass,78.0
1,-6,-3,grass,105.0
1,5,-1,grass,100.0
1,-1,-6,rabbit,118.0
1,4,-2,grass,109.0
1,-3,10,rabbit,110.0
1,3,-7,grass,92.0
1,6,2,debris,30.0
1,-1,4,rabbit,120.0
1,-9,-5,grass,103.0
1,5,0,debris,43.0
1,4,0,grass,89.0
1,-5,2,debris,31.0
1,2,2,debris,35.0
1,14,9,debris,4.0
1,-5,8,rabbit,108.0
1,15,-1,debris,57.0
1,2,11,grass,95.0
1,2,-4,debris,-1.0
1,-8,1,debris,22.0
1,1,-7,grass,87.0
1,-4,2,grass,76.0
1,13,-7,debris,14.0
1,1,5,debris,43.0
1,-11,0,debris,28.0
1,-2,1,debris,39.0
1,-9,-2,debris,47.0
1,-4,-3,debris,33.0
1,-8,7,debris,45.0
1,4,-6,debris,16.0
1,4,2,rabbit,132.0
1,-10,-10,debris,33.0
1,-6,1,grass,111.0
1,2,1,grass,82.0
1,-4,4,rabbit,142.8
1,1,-8,debris,55.0
1,-8,3,debris,14.0
1,-2,0,rabbit,74.2
1,-3,3,debris,19.0
1,-5,-5,debris,27.0
1,-13,-2,debris,71.0
1,0,6,debris,85.0
1,-4,-8,debris,12.0
1,-3,4,debris,13.0
1,3,2,wolf,98.0
1,-1,1,debris,26.0
1,7,2,debris,42.0
1,-9,0,debris,72.0
1,4,-4,grass,66.0
1,4,-3,grass,130.8
1,7,-2,debris,65.0
1,5,-4,debris,25.0
1,2,0,debris,38.0
1,-3,0,debris,33.0
1,-3,-1,grass,99.0
1,3,-2,rabbit,68.0
1,1,1,grass,47.0
1,-1,-2,debris,19.0
1,-6,0,debris,59.0
1,-5,5,rabbit,72.0
1,0,1,grass,66.0
1,3,-3,grass,78.0
1,5,6,debris,19.0
1,-2,-1,rabbit,104.7
1,0,-7,debris,67.0
1,2,7,debris,73.0
1,8,0,debris,7.0
1,0,-3,debris,30.0
1,-2,11,debris,-7.0
1,2,-1,rabbit,137.0
1,0,4,debris,59.0
1,-3,-8,debris,81.0
1,3,4,grass,85.0
1,-6,-1,debris,74.0
1,5,1,grass,73.0
1,-4,0,debris,46.0
1,-8,5,debris,46.0
1,-1,-3,debris,72.0
1,5,-3,debris,21.0
1,-7,-7,debris,45.0
1,-2,8,debris,21.0
1,12,3,debris,29.0
1,3,-1,debris,48.0
1,-6,7,debris,48.0
1,-3,5,debris,69.0
1,2,4,debris,35.0
1,1,4,debris,60.0
1,-8,-5,debris,37.0
1,6,-5,grass,86.0
1,-2,-4,debris,46.0
1,7,-3,debris,10.0
1,-2,3,debris,18.0
1,8,-2,debris,66.0
1,1,-1,debris,21.0
1,6,0,debris,59.0
1,7,-1,debris,58.0
2,8,-4,debris,29.0
2,-2,2,grass,91.0
2,3,11,grass,68.0
2,-3,-3,debris,79.0
2,-8,2,debris,23.0
2,3,-9,debris,19.0
2,3,1,debris,90.0
2,5,2,rabbit,135.5
2,-6,-4,debris,47.0
2,0,7,debris,64.0
