tests,years,firstExt,firstExtSTD,deadWorld,deadWorldSTD,id,wolfEn,wolfRe,wolfFa,rabbitEn,rabbitRe,rabbitFa,wolfNum,rabbitNum,grassNum,debrisNum
1, 500, 120.0, 0.0, 120.0, 0.0, 'NZE73H', 301, 396, 21, 59, 94, 5, 5, 29, 35, 23
1, 500, 25.0, 0.0, 25.0, 0.0, 'J0DZOY', 310, 400, 23, 53, 84, 8, 1, 10, 12, 7
1, 500, 40.0, 0.0, 40.0, 0.0, 'JAKD7Y', 298, 395, 24, 73, 101, 11, 5, 19, 43, 9
1, 500, 11.0, 0.0, 11.0, 0.0, 'LXHOWF', 295, 395, 17, 65, 113, 19, 10, 8, 27, 7
1, 500, 24.0, 0.0, 24.0, 0.0, '0JEFIN', 315, 420, 24, 87, 95.7, 6, 3, 15, 7, 24
1, 500, 56.0, 0.0, 56.0, 0.0, 'PSUETW', 291, 384, 16, 76, 109, 7, 3, 25, 30, 3
1, 500, 28.0, 0.0, 28.0, 0.0, 'ZC1AW3', 298, 433, 22, 65, 103, 5, 1, 18, 5, 11
1, 500, 109.0, 0.0, 109.0, 0.0, 'LQWCT5', 296, 374, 12, 61, 84, 9, 3, 17, 31, 16
1, 500, 15.0, 0.0, 15.0, 0.0, 'PEKI02', 298, 430, 26, 75, 95, 14, 6, 13, 21, 14
1, 500, 43.0, 0.0, 43.0, 0.0, '26ZPU6', 299, 408, 20, 76, 103, 18, 1, 17, 28, 25
1, 500, 2.0, 0.0, 2.0, 0.0, 'SDW1GE', 311, 400, 24, 73, 116, 14, 4, 1, 25, 8
1, 500, 15.0, 0.0, 15.0, 0.0, 'YXLYGY', 297, 420, 22, 56, 110, 9, 1, 21, 24, 1
1, 500, 15.0, 0.0, 15.0, 0.0, 'SQWC3U', 286, 433, 15, 71, 99, 16, 1, 13, 26, 22
1, 500, 20.0, 0.0, 20.0, 0.0, '8U3L38', 300, 394, 22, 78, 90, 12, 2, 26, 20, 7
1, 500, 38.0, 0.0, 38.0, 0.0, '6WAV6H', 292, 390, 8, 68, 121, 5, 1, 15, 31, 3
1, 500, 28.0, 0.0, 28.0, 0.0, 'F5A58H', 305, 392, 14, 65, 123, 9, 2, 13, 32, 1
1, 500, 77.0, 0.0, 77.0, 0.0, 'EQ86N3', 281, 401, 18, 75, 106, 5, 4, 12, 32, 21
1, 500, 500.0, 0.0, 500.0, 0.0, 'XNX9ZS', 292, 390, 16, 62, 84, 11, 9, 16, 26, 30
1, 500, 17.0, 0.0, 17.0, 0.0, '4JY8GL', 283, 414, 31, 77, 99, 11, 1, 13, 35, 27
1, 500, 19.0, 0.0, 19.0, 0.0, 'B0ZOBV', 300, 403, 26, 81, 115, 13, 4, 24, 36, 1
1, 500, 30.0, 0.0, 30.0, 0.0, 'VM8I90', 304, 408, 18, 66, 99, 5, 2, 19, 41, 2
1, 500, 45.0, 0.0, 45.0, 0.0, '10Q1CG', 281, 405, 14, 64, 119, 15, 1, 15, 29, 4
1, 500, 500.0, 0.0, 500.0, 0.0, 'X03MUH', 298, 396, 15, 81, 99, 11, 2, 18, 14, 21
1, 500, 24.0, 0.0, 24.0, 0.0, '2VPN84', 294, 405, 14, 64, 99, 9, 1, 10, 8, 26
1, 500, 18.0, 0.0, 18.0, 0.0, 'ED9SEE', 302, 406, 23, 69, 90, 8, 2, 18, 22, 2
1, 500, 19.0, 0.0, 19.0, 0.0, 'MTAHHH', 300, 397, 29, 69, 83, 7, 3, 26, 15, 35
1, 500, 500.0, 0.0, 500.0, 0.0, '4ZOYZZ', 309, 368, 15, 64, 93, 5, 11, 28, 12, 43
1, 500, 290.0, 0.0, 290.0, 0.0, 'YYF2R7', 312, 354, 16, 59, 90, 5, 11, 31, 14, 40
1, 500, 500.0, 0.0, 500.0, 0.0, 'OW7HFI', 309, 364, 12, 69, 95, 6, 16, 22, 8, 40
1, 500, 11.0, 0.0, 11.0, 0.0, 'DD195V', 308, 366, 12, 76, 106, 13, 16, 23, 14, 43
1, 500, 500.0, 0.0, 500.0, 0.0, '22SAKR', 306, 362, 8, 68, 90, 5, 16, 17, 13, 44
1, 500, 14.0, 0.0, 14.0, 0.0, 'P4CDHM', 297, 356, 12, 62, 89, 5, 17, 23, 1, 55
1, 500, 15.0, 0.0, 15.0, 0.0, 'NPRLBO', 309, 372, 6, 62, 84, 9, 13, 29, 10, 60
1, 500, 500.0, 0.0, 500.0, 0.0, '2DWZXR', 318, 355, 10, 66, 86, 5, 11, 22, 1, 57
1, 500, 123.0, 0.0, 123.0, 0.0, 'EMQRNT', 323, 355, 5, 61, 97, 5, 8, 17, 13, 49
1, 500, 112.0, 0.0, 112.0, 0.0, 'AQV8SJ', 336, 369, 5, 84, 92, 7, 11, 17, 11, 43
1, 500, 114.0, 0.0, 114.0, 0.0, '98F7MG', 323, 362, 9, 64, 92, 7, 15, 18, 9, 37
1, 500, 10.0, 0.0, 10.0, 0.0, 'DY5AFQ', 320, 352, 13, 67, 84, 11, 13, 13, 14, 59
1, 500, 14.0, 0.0, 14.0, 0.0, '59FUMU', 310, 363, 16, 68, 79, 5, 11, 19, 12, 59
1, 500, 160.0, 0.0, 160.0, 0.0, 'KNV6VN', 311, 370, 11, 92, 101, 5, 10, 21, 8, 58
1, 500, 121.0, 0.0, 121.0, 0.0, '07GVX9', 316, 360, 7, 102, 112, 5, 10, 27, 1, 31
1, 500, 500.0, 0.0, 500.0, 0.0, '3VY95C', 289, 347, 16, 89, 114, 6, 10, 32, 3, 37
1, 500, 500.0, 0.0, 500.0, 0.0, '8FF493', 280, 328, 12, 92, 125, 5, 11, 31, 2, 38
