tests,years,firstExt,firstExtSTD,deadWorld,deadWorldSTD,id,wolfEn,wolfRe,wolfFa,rabbitEn,rabbitRe,rabbitFa,wolfNum,rabbitNum,grassNum,debrisNum
1, 500, 84.0, 0.0, 84.0, 0.0, '8RDNJL', 291, 424, 25, 79, 99, 11, 8, 7, 29, 1
1, 500, 41.0, 0.0, 41.0, 0.0, '6V37B7', 278, 409, 10, 60, 115, 5, 2, 16, 34, 3
1, 500, 23.0, 0.0, 23.0, 0.0, 'EW1EQQ', 306, 398, 20, 71, 98, 7, 3, 4, 17, 10
1, 500, 22.0, 0.0, 22.0, 0.0, 'TEKMWZ', 303, 411, 12, 67, 115, 6, 9, 19, 37, 1
1, 500, 25.0, 0.0, 25.0, 0.0, 'AGPB6C', 283, 408, 22, 64, 103, 8, 3, 20, 20, 17
1, 500, 16.0, 0.0, 16.0, 0.0, 'TA4OAE', 292, 371, 15, 63, 100, 17, 2, 8, 35, 1
1, 500, 15.0, 0.0, 15.0, 0.0, 'TDAV78', 301, 436, 24, 67, 111, 7, 1, 10, 22, 20
1, 500, 100.0, 0.0, 100.0, 0.0, 'N2GNNI', 311, 379, 22, 81, 101, 5, 4, 15, 14, 23
1, 500, 138.0, 0.0, 138.0, 0.0, '0OX2KP', 301, 407, 14, 64, 96, 5, 3, 23, 35, 14
1, 500, 27.0, 0.0, 27.0, 0.0, 'G5Z3ZL', 314, 410, 21, 64, 100, 5, 3, 16, 28, 6
1, 500, 18.0, 0.0, 18.0, 0.0, 'OFWUWB', 315, 398, 9, 68, 103, 14, 3, 16, 28, 1
1, 500, 11.0, 0.0, 11.0, 0.0, 'RNANQH', 294, 391, 16, 61, 104, 7, 3, 5, 5, 12
1, 500, 500.0, 0.0, 500.0, 0.0, 'A3HNFD', 281, 370, 9, 53, 97, 11, 1, 8, 24, 12
1, 500, 33.0, 0.0, 33.0, 0.0, 'CGFZFH', 309, 401, 10, 78, 100, 11, 1, 10, 8, 7
1, 500, 33.0, 0.0, 33.0, 0.0, 'I8GBW8', 299, 393, 22, 68, 101, 8, 1, 16, 26, 5
1, 500, 185.0, 0.0, 185.0, 0.0, 'D5RN2D', 293, 385, 20, 79, 99, 9, 1, 15, 15, 21
1, 500, 15.0, 0.0, 15.0, 0.0, 'UD4EL3', 307, 422, 32, 68, 95, 9, 1, 22, 28, 6
1, 500, 17.0, 0.0, 17.0, 0.0, 'S5GSIF', 300, 403, 26, 58, 104, 7, 5, 7, 31, 11
1, 500, 252.0, 0.0, 252.0, 0.0, '9O40UG', 307, 421, 23, 65, 98, 7, 6, 12, 21, 41
1, 500, 51.0, 0.0, 51.0, 0.0, 'OOXWKM', 306, 382, 18, 64, 94, 5, 4, 13, 41, 5
1, 500, 363.0, 0.0, 363.0, 0.0, 'IBUEZE', 291, 360, 15, 73, 89, 8, 5, 22, 26, 22
1, 500, 11.0, 0.0, 11.0, 0.0, 'RGSMBF', 303, 404, 16, 63, 84, 17, 1, 19, 9, 14
1, 500, 111.0, 0.0, 111.0, 0.0, '2EUWEG', 286, 390, 11, 83, 106, 8, 4, 16, 19, 1
1, 500, 24.0, 0.0, 24.0, 0.0, 'R1A2LM', 296, 396, 12, 57, 111, 5, 1, 18, 37, 1
