year,lat,long,name,energy
1,1,5,debris,56.0
1,3,3,rabbit,140.0
1,-2,3,grass,126.8
1,5,-4,rabbit,97.9
1,-12,6,rabbit,117.0
1,-2,0,rabbit,87.0
1,10,-2,wolf,305.0
1,-8,5,grass,54.0
1,7,-1,grass,63.0
1,-9,12,grass,89.0
1,0,21,debris,24.0
1,1,-8,wolf,281.0
1,4,-2,grass,129.0
1,-3,-2,rabbit,78.2
1,-4,2,grass,50.0
1,-2,-2,rabbit,70.5
1,-2,-4,rabbit,50.0
1,2,-3,rabbit,117.0
1,5,2,grass,64.0
1,-1,8,rabbit,81.0
1,0,22,debris,2.0
1,-7,-3,grass,88.0
1,11,-5,grass,65.0
1,9,1,debris,14.0
1,4,-1,grass,64.0
1,0,-7,grass,114.0
1,1,-3,rabbit,51.0
1,-3,-3,rabbit,57.0
1,-2,10,debris,66.0
1,5,0,grass,93.0
1,1,6,rabbit,52.0
1,4,8,wolf,306.0
1,-2,5,grass,110.0
1,2,5,grass,110.0
1,-2,4,grass,63.5
1,8,2,rabbit,64.5
1,-1,-1,rabbit,91.0
1,6,4,rabbit,107.5
1,-2,2,grass,108.0
1,1,2,grass,81.0
1,-4,-6,grass,61.0
1,1,-1,rabbit,81.0
1,4,-3,rabbit,48.5
1,0,1,grass,123.0
1,-1,-4,rabbit,68.0
1,4,0,grass,82.0
1,-1,21,debris,10.0
2,1,5,debris,66.0
2,3,3,rabbit,70.0
2,-2,3,grass,136.8
2,-2,-1,rabbit,82.0
2,3,-4,rabbit,52.5
2,-12,6,rabbit,58.5
2,6,-3,rabbit,92.9
2,-8,5,grass,64.0
2,7,-1,grass,73.0
2,-9,12,grass,99.0
2,-3,-5,rabbit,45.0
2,-1,-3,rabbit,65.5
2,3,7,wolf,291.0
2,0,21,debris,34.0
2,1,1,grass,109.7
2,4,-2,rabbit,118.0
2,-4,2,grass,60.0
2,0,-1,rabbit,72.0
2,-4,-4,rabbit,48.0
2,2,-3,rabbit,58.5
2,2,3,rabbit,60.7
2,5,2,grass,74.0
2,0,22,debris,12.0
2,-7,-3,grass,98.0
2,11,-5,grass,75.0
2,9,1,debris,24.0
2,1,-2,rabbit,43.0
2,4,-1,grass,74.0
2,9,-3,wolf,287.0
2,2,6,rabbit,57.2
2,0,-7,grass,124.0
2,-2,10,debris,76.0
2,-2,-3,rabbit,73.0
2,5,0,grass,103.0
2,-2,7,rabbit,72.0
2,-2,5,grass,120.0
2,2,5,rabbit,53.5
2,7,3,rabbit,59.5
2,-11,5,rabbit,63.7
2,-3,-1,rabbit,80.0
2,-2,4,grass,73.5
2,6,5,rabbit,47.8
2,-1,-5,rabbit,63.0
2,6,4,rabbit,53.8
2,-2,2,grass,118.0
2,1,2,grass,91.0
2,-4,-6,grass,71.0
2,0,1,grass,61.5
2,4,0,grass,92.0
2,-1,21,debris,20.0
2,1,-7,wolf,262.0
3,1,5,debris,76.0
3,-3,7,rabbit,63.0
3,-2,3,grass,146.8
3,-1,-2,rabbit,60.5
3,2,-8,wolf,243.0
3,-12,5,rabbit,43.5
3,3,-4,rabbit,53.5
3,1,-3,rabbit,35.0
3,-3,-6,rabbit,75.5
3,-2,0,rabbit,73.0
3,10,-2,wolf,269.0
3,-8,5,grass,74.0
3,7,-1,grass,83.0
3,-9,12,grass,109.0
3,-3,-5,rabbit,39.0
3,0,21,debris,44.0
3,1,1,grass,119.7
3,6,6,rabbit,40.1
3,-12,4,rabbit,49.2
3,4,-2,rabbit,59.0
3,-4,2,grass,70.0
3,-2,-4,rabbit,58.0
3,-1,0,rabbit,64.8
3,5,2,grass,84.0
3,0,22,debris,22.0
3,-7,-3,grass,108.0
3,11,-5,grass,85.0
3,9,1,debris,34.0
3,4,-1,grass,84.0
3,3,2,rabbit,56.0
3,4,-5,rabbit,47.2
3,7,-3,rabbit,87.9
3,1,0,rabbit,63.0
3,0,-7,grass,134.0
3,-2,10,debris,86.0
3,5,0,grass,113.0
3,8,4,rabbit,54.5
3,-2,5,grass,130.0
3,-2,4,grass,83.5
3,-2,-1,rabbit,73.0
3,7,3,rabbit,45.8
3,-2,2,grass,128.0
3,2,4,wolf,331.3
3,4,-3,rabbit,99.8
3,0,1,rabbit,68.5
3,-1,-4,rabbit,67.8
3,4,0,grass,102.0
3,-1,21,debris,30.0
4,10,-3,wolf,251.0
4,-2,4,grass,93.5
4,-8,5,grass,84.0
4,-2,5,grass,65.0
4,1,1,rabbit,127.8
4,3,5,wolf,316.3
4,4,-2,rabbit,94.8
4,-2,-6,rabbit,70.5
4,-2,-2,rabbit,66.0
4,-2,1,rabbit,64.0
4,-1,-5,rabbit,53.0
4,0,22,debris,32.0
4,-11,4,rabbit,34.7
4,-7,-3,grass,118.0
4,4,-1,rabbit,50.5
4,3,1,rabbit,42.0
4,0,-7,grass,67.0
4,-4,7,rabbit,54.0
4,5,0,grass,123.0
4,7,-1,grass,93.0
4,3,-5,rabbit,48.5
4,11,-5,grass,95.0
4,-1,-1,rabbit,55.5
4,-2,2,grass,138.0
4,0,-6,grass,103.7
4,0,0,rabbit,50.6
4,-3,4,grass,100.3
4,5,-5,rabbit,41.9
4,5,-1,rabbit,98.1
4,4,0,grass,112.0
4,-1,21,debris,40.0
4,7,4,rabbit,37.8
4,1,5,debris,86.0
4,-2,3,grass,73.4
4,9,4,rabbit,49.5
4,-9,12,grass,119.0
4,-3,-4,rabbit,30.0
4,5,7,rabbit,32.5
4,0,21,debris,54.0
4,6,-4,rabbit,82.9
4,5,2,grass,94.0
4,9,1,debris,44.0
4,1,-2,rabbit,27.0
4,-2,10,debris,96.0
4,1,2,rabbit,54.7
4,-4,2,grass,80.0
4,-2,-5,rabbit,62.7
4,3,-9,wolf,224.0
4,-3,3,grass,127.4
4,-11,6,rabbit,28.5
5,9,3,rabbit,44.5
5,3,-4,rabbit,43.5
5,-2,4,grass,103.5
5,-8,5,grass,94.0
5,-2,5,grass,75.0
5,2,1,rabbit,40.9
5,5,-3,rabbit,89.8
5,-10,7,rabbit,13.5
5,1,1,rabbit,63.9
5,2,-10,wolf,205.0
5,-4,8,rabbit,45.0
5,-1,-5,rabbit,69.2
5,0,22,debris,42.0
5,-7,-3,grass,128.0
5,-2,-4,rabbit,57.5
5,6,-2,rabbit,93.0
5,1,0,rabbit,92.5
5,0,-7,grass,77.0
5,5,0,rabbit,56.0
5,7,-1,grass,103.0
5,10,-4,wolf,233.0
5,7,-5,rabbit,77.9
5,-3,-1,rabbit,59.0
5,11,-5,grass,105.0
5,-2,2,rabbit,66.5
5,0,-6,rabbit,52.4
5,3,0,rabbit,84.0
5,4,-4,rabbit,36.5
5,-3,4,grass,110.3
5,-1,21,debris,50.0
5,1,5,debris,96.0
5,-4,-3,rabbit,21.0
5,-2,3,grass,83.4
5,-1,-2,rabbit,50.5
5,-1,2,rabbit,56.2
5,6,8,rabbit,24.9
5,-9,12,grass,129.0
5,3,6,wolf,301.3
5,0,21,debris,64.0
5,1,-1,rabbit,36.5
5,2,-2,rabbit,19.0
5,5,2,grass,104.0
5,9,1,debris,54.0
5,-1,10,grass,72.0
5,-2,10,debris,48.0
5,-3,-6,rabbit,65.5
5,-4,2,grass,90.0
5,-11,5,rabbit,20.2
5,6,0,rabbit,97.4
