grassNum,grassEn,grassRe,grassFa,wolfNum,wolfEn,wolfRe,wolfFa,rabbitNum,rabbitEn,rabbitRe,rabbitFa
11,66.0,125.5,0.0,6,287.7,375.2,6.8,7,90.9,123.0,9.7
9,79.0,128.8,0.0,6,286.8,375.2,6.8,7,86.0,121.4,9.1
9,89.0,128.8,0.0,7,270.3,373.6,7.0,5,73.0,120.8,8.6
9,99.0,128.8,0.0,7,268.7,373.6,7.0,4,65.8,119.2,9.5
9,109.0,128.8,0.0,7,265.1,373.6,7.0,3,64.7,115.0,7.0
10,108.0,127.8,0.5,7,263.2,373.6,7.0,2,59.0,115.0,6.0
13,92.9,128.6,1.5,8,239.6,372.3,7.1,2,53.0,115.0,6.0
15,87.1,127.9,1.7,8,232.5,372.3,7.1,2,73.0,115.0,6.0
15,95.9,127.6,1.7,8,225.4,372.3,7.1,3,66.6,117.5,5.8
16,97.7,127.3,1.9,8,218.4,372.3,7.1,3,60.8,117.5,5.8
18,94.2,127.2,2.2,8,211.3,372.3,7.1,3,55.0,117.5,5.8
19,96.5,127.8,2.4,8,204.2,372.3,7.1,3,49.2,117.5,5.8
22,91.8,127.8,2.8,8,197.1,372.3,7.1,3,65.1,117.5,5.8
24,94.7,128.3,2.6,8,190.0,372.3,7.1,3,76.2,117.5,5.8
26,90.8,128.3,3.0,8,182.9,372.3,7.1,4,70.6,114.8,6.0
26,92.0,128.2,3.2,8,175.9,372.3,7.1,5,77.9,113.7,6.3
27,98.4,127.8,3.3,8,168.8,372.3,7.1,6,63.8,112.4,6.4
27,98.7,126.6,3.2,8,161.7,372.3,7.1,8,65.5,111.3,6.5
29,98.2,127.0,3.2,8,154.6,372.3,7.1,9,65.2,110.9,6.5
30,95.6,126.2,3.4,8,153.6,372.3,7.1,10,67.3,110.7,6.6
30,101.7,125.7,3.6,8,150.0,372.3,7.1,11,61.4,110.6,6.7
36,85.7,125.4,3.9,8,147.1,372.3,7.1,10,67.9,111.1,6.7
35,86.1,124.4,3.9,8,144.5,372.3,7.1,11,73.8,110.7,6.7
37,91.1,124.1,4.0,8,143.1,372.3,7.1,13,56.1,110.5,6.7
41,91.2,123.3,3.9,8,137.8,372.3,7.1,12,65.4,109.4,6.9
40,98.0,123.0,4.1,8,136.3,372.3,7.1,14,56.6,108.8,6.7
43,98.3,122.8,4.4,8,136.4,372.3,7.1,13,51.7,108.9,6.7
46,98.9,123.0,4.4,8,132.7,372.3,7.1,10,59.2,107.6,6.7
53,92.8,122.7,4.5,8,127.0,372.3,7.1,10,56.3,107.7,6.8
61,85.3,123.3,4.6,8,119.9,372.3,7.1,11,61.0,107.9,6.8
64,86.6,123.7,4.6,7,129.6,373.5,7.0,12,69.1,108.0,6.8
61,92.4,123.8,4.8,7,122.7,373.5,7.0,16,70.6,108.4,6.9
60,96.4,123.8,4.9,7,115.7,373.5,7.0,20,67.4,108.4,6.8
59,101.4,123.7,4.9,7,108.7,373.5,7.0,23,65.3,108.4,6.7
60,101.0,123.1,4.9,7,116.6,373.5,7.0,24,63.3,108.4,6.7
62,102.5,123.3,4.8,7,131.4,373.5,7.0,21,65.0,108.5,6.7
72,95.3,123.3,4.8,7,131.6,373.5,7.0,23,57.5,108.4,6.7
73,100.8,123.0,4.8,6,171.3,373.9,6.8,19,54.1,108.4,6.9
78,99.3,123.4,5.0,7,157.7,374.2,6.8,20,54.4,108.0,6.8
81,102.6,122.7,5.1,7,150.9,374.2,6.8,23,51.9,107.8,6.8
80,110.4,122.5,5.1,7,144.2,374.2,6.8,26,51.1,107.9,6.9
89,106.3,122.4,5.2,7,147.5,374.2,6.8,25,50.0,107.3,6.8
95,108.0,122.1,5.2,7,153.6,374.2,6.8,23,48.2,106.8,6.7
103,108.2,122.0,5.3,6,186.2,372.3,6.7,22,40.6,106.6,6.6
