year,lat,long,name,energy
1,5,7,wolf,302.5
1,-10,0,grass,78.0
1,3,1,grass,105.0
1,-2,-7,rabbit,28.5
1,2,0,wolf,290.0
1,7,4,grass,107.0
1,6,11,debris,33.0
1,-1,-3,rabbit,40.7
1,0,4,grass,69.0
1,-5,-1,grass,99.0
1,4,-3,grass,121.0
1,3,3,grass,104.0
1,-10,-3,debris,17.0
1,2,-3,grass,91.0
1,-6,2,grass,42.0
1,-4,-5,grass,50.0
1,-6,4,debris,31.0
1,8,-5,rabbit,20.0
1,2,7,debris,48.0
1,4,-2,wolf,257.0
1,7,0,grass,88.0
1,8,0,rabbit,40.6
1,-5,-5,debris,17.0
1,5,5,grass,100.0
1,3,-8,rabbit,18.5
1,-7,4,grass,94.0
1,9,3,debris,42.0
1,-7,-5,debris,-3.0
1,-4,3,rabbit,59.5
1,-4,-11,grass,58.0
1,7,-2,grass,80.0
1,3,5,rabbit,92.5
1,-7,3,debris,7.0
1,-5,-2,grass,67.0
1,1,1,grass,95.0
1,-7,-1,wolf,283.9
1,5,4,grass,40.0
1,1,-2,debris,49.0
1,2,-10,grass,87.0
1,8,-1,debris,28.0
1,-3,4,grass,82.0
1,2,1,grass,119.0
1,-3,1,grass,113.0
1,4,-4,rabbit,27.0
1,0,-3,debris,66.0
1,9,-6,debris,33.0
1,-3,3,debris,54.0
1,0,0,grass,81.0
1,5,-10,grass,111.0
1,3,-5,debris,5.0
1,-3,-4,rabbit,21.5
1,8,-2,grass,70.0
1,0,-6,debris,39.0
1,3,-3,debris,41.0
1,0,-5,grass,93.0
1,-1,-6,rabbit,6.0
1,4,1,debris,42.0
1,-3,5,grass,104.0
1,8,-8,debris,76.0
1,-3,-5,debris,43.0
1,-2,6,grass,100.0
1,-5,2,grass,111.0
1,8,-4,rabbit,42.9
1,5,-2,grass,52.0
1,6,-11,grass,74.0
1,-4,6,debris,79.0
1,1,2,wolf,328.8
1,-4,-4,grass,98.0
1,-6,-9,grass,89.0
1,-1,-4,rabbit,2.0
1,10,-3,debris,41.0
1,6,-4,debris,58.0
1,-10,7,rabbit,20.7
1,6,9,grass,92.0
1,-6,1,grass,101.0
1,9,4,grass,67.0
1,-6,3,rabbit,29.8
1,0,-1,grass,90.0
1,3,4,debris,50.0
1,6,-5,debris,28.0
1,7,-1,rabbit,21.0
1,-3,-2,grass,73.0
1,10,0,grass,78.0
1,0,-9,grass,92.0
1,1,-1,grass,79.0
1,-6,-5,grass,91.0
1,-7,0,debris,43.0
1,-2,0,grass,94.0
1,-1,-1,grass,110.0
1,-9,8,rabbit,31.2
1,1,0,wolf,299.5
1,-1,1,debris,20.0
1,-3,7,debris,41.0
1,-7,2,debris,86.0
1,6,3,grass,95.0
1,10,5,grass,133.8
1,0,-2,rabbit,20.0
1,4,-1,debris,37.0
1,10,-2,grass,55.0
1,4,0,debris,39.0
1,5,-4,debris,8.0
1,2,3,grass,85.0
1,-7,-4,grass,103.0
1,-12,-9,grass,50.0
1,3,2,debris,52.0
1,8,4,grass,51.0
1,15,-5,grass,84.0
1,5,0,debris,60.0
1,1,-5,grass,50.0
1,-3,-3,grass,106.0
1,-9,0,debris,53.0
1,-5,3,rabbit,40.8
1,-8,-3,debris,44.0
1,10,4,debris,43.0
1,-6,0,wolf,163.5
1,2,5,rabbit,-11.8
1,-3,2,debris,25.0
1,7,9,debris,40.0
1,5,14,grass,111.0
1,5,3,grass,81.0
1,0,-8,grass,88.0
1,2,-7,grass,80.0
1,-4,-2,grass,108.0
1,8,-12,debris,39.0
1,6,-3,debris,51.0
1,11,4,debris,70.0
1,-2,4,grass,95.0
1,3,-7,rabbit,39.1
1,2,4,debris,35.0
1,-4,4,rabbit,30.0
1,5,1,debris,67.0
1,-3,0,debris,32.0
1,11,-4,debris,47.0
1,-1,6,debris,32.0
1,6,12,grass,49.0
1,-7,-2,grass,80.0
1,2,-1,grass,82.0
1,4,5,grass,82.0
1,-2,-6,rabbit,21.8
1,-4,10,grass,57.0
1,6,-2,grass,72.0
1,2,6,rabbit,34.5
1,-4,-1,grass,102.0
1,0,7,debris,52.0
1,-9,6,grass,74.0
1,10,-6,grass,77.0
1,6,-1,debris,56.0
1,-1,-2,grass,85.0
1,-1,0,grass,71.0
1,1,4,grass,117.0
1,-2,-3,grass,94.0
1,0,9,grass,130.0
1,2,2,debris,71.0
1,-1,-13,debris,25.0
1,6,0,grass,130.0
1,-5,-3,grass,137.0
1,-7,6,grass,89.0
1,-4,13,grass,96.0
1,-4,0,grass,59.0
1,-2,-4,rabbit,42.8
1,-5,-10,grass,107.0
1,3,0,grass,102.0
1,6,6,debris,29.0
1,5,-5,debris,0.0
1,0,12,grass,97.0
1,0,8,grass,87.0
1,-1,-7,grass,80.0
1,-4,-9,debris,49.0
1,11,0,debris,67.0
1,-3,-8,rabbit,58.4
1,-10,-11,debris,52.0
2,-10,0,grass,88.0
2,3,1,grass,115.0
2,2,0,wolf,282.5
2,7,4,grass,117.0
2,6,11,debris,43.0
2,0,4,grass,79.0
2,-5,-1,grass,109.0
2,4,-3,grass,131.0
2,-2,-2,rabbit,44.6
2,3,3,grass,114.0
2,-10,-3,debris,27.0
2,2,-3,grass,101.0
2,-6,2,rabbit,66.8
2,-4,-5,rabbit,51.5
2,-6,4,debris,41.0
2,2,7,debris,58.0
2,7,0,rabbit,89.6
2,0,-7,rabbit,59.0
2,-5,-5,debris,27.0
2,5,5,grass,110.0
2,3,-8,rabbit,36.2
2,-7,4,rabbit,81.8
2,9,3,debris,52.0
2,-7,-5,debris,7.0
2,-4,-11,grass,68.0
2,-4,5,rabbit,60.1
2,7,-2,grass,90.0
2,6,8,wolf,291.5
2,3,5,rabbit,46.2
2,-7,3,debris,17.0
2,-5,-2,grass,77.0
2,1,1,grass,105.0
2,5,4,grass,50.0
2,1,-2,debris,59.0
2,2,-10,grass,97.0
2,8,-1,debris,38.0
2,-3,4,rabbit,50.3
2,2,1,grass,129.0
2,-3,1,grass,123.0
2,4,-4,rabbit,13.5
2,0,-3,debris,76.0
2,9,-6,debris,43.0
2,-3,3,debris,64.0
2,0,0,grass,91.0
2,5,-10,grass,121.0
2,3,-5,debris,15.0
2,-3,-4,rabbit,21.3
2,8,-2,grass,80.0
2,0,-6,debris,49.0
2,3,-3,debris,51.0
2,0,-5,rabbit,57.5
2,-1,-6,rabbit,11.8
2,4,1,debris,52.0
2,-3,5,rabbit,87.0
2,8,-8,debris,86.0
2,-3,-5,debris,53.0
2,-2,6,grass,110.0
2,-5,2,grass,121.0
2,5,-2,grass,62.0
2,6,-11,grass,84.0
2,5,-3,wolf,237.0
2,-4,6,debris,89.0
2,-4,-4,grass,108.0
2,-6,-9,grass,99.0
2,-8,-1,wolf,257.7
2,8,-6,rabbit,13.0
2,0,2,wolf,304.8
2,10,-3,debris,51.0
2,3,-1,wolf,272.0
2,3,-6,rabbit,33.5
2,6,-4,debris,68.0
2,-9,9,rabbit,20.2
2,6,9,grass,102.0
2,-6,1,grass,111.0
2,9,4,grass,77.0
2,0,-1,rabbit,70.0
2,3,4,debris,60.0
2,6,-5,debris,38.0
2,7,-1,rabbit,45.3
2,-3,-2,grass,83.0
2,10,0,grass,88.0
2,0,-9,grass,102.0
2,1,-1,grass,89.0
2,-6,-5,grass,101.0
2,-7,0,debris,53.0
2,-2,0,grass,104.0
2,-8,6,rabbit,20.5
2,-1,-1,grass,120.0
2,-2,-9,rabbit,49.7
2,-1,1,debris,30.0
2,-3,7,debris,51.0
2,-7,2,debris,43.0
2,6,3,grass,105.0
2,10,5,grass,143.8
2,4,-1,debris,47.0
2,-5,1,wolf,137.5
2,10,-2,grass,65.0
2,4,0,debris,49.0
2,5,-4,debris,18.0
2,2,3,grass,95.0
2,-7,-4,grass,113.0
2,-8,1,grass,76.0
2,-12,-9,grass,60.0
2,3,2,debris,62.0
2,1,5,rabbit,29.5
2,8,4,grass,61.0
2,15,-5,grass,94.0
2,5,0,debris,70.0
2,1,-5,grass,60.0
2,-3,-3,rabbit,100.8
2,-9,0,debris,63.0
2,-8,-3,debris,54.0
2,7,-4,rabbit,36.7
2,10,4,debris,53.0
2,-3,2,debris,35.0
2,7,9,debris,50.0
2,5,14,grass,121.0
2,5,3,grass,91.0
2,0,-8,grass,98.0
2,2,-7,rabbit,29.2
2,-4,-2,grass,118.0
2,8,-12,debris,49.0
2,6,-3,debris,61.0
2,11,4,debris,80.0
2,-2,4,grass,105.0
2,2,4,debris,45.0
2,5,1,debris,77.0
2,-3,0,debris,42.0
2,11,-4,debris,57.0
2,-1,6,debris,42.0
2,6,12,grass,59.0
2,3,-4,rabbit,-5.4
2,-7,-2,grass,90.0
2,2,-1,grass,92.0
2,4,5,grass,92.0
2,-4,10,grass,67.0
2,6,-2,grass,82.0
2,-4,-1,grass,112.0
2,0,7,debris,62.0
2,-9,6,rabbit,28.9
2,10,-6,grass,87.0
2,6,-1,debris,66.0
2,-1,-2,rabbit,41.6
2,-1,0,grass,81.0
2,3,6,rabbit,48.1
2,1,4,rabbit,23.4
2,-2,-3,rabbit,24.5
2,0,9,grass,140.0
2,2,2,debris,81.0
2,-1,-13,debris,35.0
2,6,0,rabbit,43.0
2,-5,-3,grass,147.0
2,-7,6,grass,99.0
2,-4,13,grass,106.0
2,-4,0,grass,69.0
2,-5,-10,grass,117.0
2,3,0,grass,112.0
2,6,6,debris,39.0
2,5,-5,debris,10.0
2,0,12,grass,107.0
2,0,8,grass,97.0
2,0,3,rabbit,-10.7
2,-1,-7,rabbit,34.2
2,-4,-9,debris,59.0
2,11,0,debris,77.0
2,-10,-11,debris,62.0
3,-11,-12,grass,64.0
3,5,7,wolf,280.5
3,-10,0,grass,98.0
3,7,-6,rabbit,6.0
3,3,1,grass,125.0
3,-2,-7,rabbit,25.2
3,-1,-9,rabbit,56.3
3,7,4,grass,58.5
3,6,11,debris,53.0
3,0,4,rabbit,74.0
3,4,-6,rabbit,27.9
3,-5,-1,grass,119.0
3,4,-3,wolf,279.0
3,-2,-2,rabbit,32.9
3,2,-8,rabbit,38.4
3,3,3,grass,124.0
3,-10,-3,debris,37.0
3,2,-3,rabbit,50.1
3,-6,2,wolf,154.2
3,-2,5,rabbit,61.1
3,-4,-5,rabbit,25.8
3,-6,4,debris,51.0
3,-9,7,rabbit,18.2
3,2,7,debris,68.0
3,4,-2,wolf,254.0
3,7,0,rabbit,44.8
3,-1,3,wolf,327.2
3,-2,-8,rabbit,41.0
3,-5,-5,debris,37.0
3,5,5,grass,120.0
3,6,1,rabbit,43.6
3,-7,4,rabbit,40.9
3,9,3,debris,62.0
3,-7,-5,debris,17.0
3,-4,-11,grass,78.0
3,7,-2,grass,100.0
3,-7,3,debris,27.0
3,-5,-2,grass,87.0
3,1,1,grass,115.0
3,5,4,grass,60.0
3,1,-2,debris,69.0
3,2,-10,grass,107.0
3,8,-1,debris,48.0
3,-4,-3,rabbit,17.6
3,2,1,grass,139.0
3,-3,1,grass,133.0
3,0,-3,debris,86.0
3,9,-6,debris,53.0
3,-3,3,debris,74.0
3,0,0,grass,101.0
