wolfNum,wolfEn,wolfRe,wolfFa,rabbitNum,rabbitEn,rabbitRe,rabbitFa,grassNum,grassEn,grassRe,grassFa
9,320.6,421.3,5.8,24,92.3,106.2,6.9,37,78.6,129.9,0.0
9,339.2,421.3,5.8,27,85.1,107.5,6.9,28,89.5,128.5,0.0
10,334.9,420.5,5.7,30,76.7,107.7,6.8,20,99.7,128.8,0.0
12,320.8,420.8,5.6,25,78.2,107.4,7.3,13,110.7,127.8,0.0
13,323.9,420.7,5.7,20,76.1,109.7,7.2,14,104.7,127.1,0.7
13,323.6,420.7,5.7,20,66.5,109.9,7.5,17,103.1,127.4,1.2
13,325.6,420.7,5.7,18,70.1,111.0,7.7,18,97.5,125.8,1.1
13,323.5,420.7,5.7,21,64.3,111.3,7.7,17,98.9,129.1,0.9
13,328.7,420.7,5.7,19,56.8,110.8,8.0,21,82.0,127.3,1.7
13,329.0,420.7,5.7,16,61.6,110.1,8.1,25,91.6,127.9,1.4
13,330.6,420.7,5.7,16,55.3,109.6,8.1,27,94.9,128.4,1.7
13,331.1,420.7,5.7,13,55.6,109.3,8.6,30,98.2,128.5,1.7
13,326.4,420.7,5.7,12,53.2,110.2,8.6,36,95.6,128.9,1.8
13,320.6,420.7,5.7,12,48.6,110.2,8.6,41,95.0,127.8,2.1
13,314.9,420.7,5.7,13,40.0,110.9,8.5,47,97.6,128.4,2.0
13,309.1,420.7,5.7,12,46.4,112.8,8.6,56,95.8,127.7,2.1
13,303.4,420.7,5.7,12,58.0,113.8,8.2,63,93.3,128.2,2.4
13,300.6,420.7,5.7,11,66.7,113.3,8.4,65,97.3,128.3,2.4
13,296.5,420.7,5.7,12,75.9,114.1,7.4,72,95.7,128.1,2.8
13,314.8,420.7,5.7,7,76.1,113.9,7.6,74,100.8,127.8,2.9
13,317.5,420.7,5.7,6,78.4,112.7,7.9,86,97.9,127.7,3.1
15,293.3,419.8,5.9,5,72.9,111.6,7.9,94,103.0,128.2,3.0
16,277.1,419.7,5.9,5,54.6,109.1,7.8,109,101.5,128.2,3.1
16,277.0,419.7,5.9,4,74.5,107.6,7.3,122,99.5,128.1,3.3
17,268.1,419.5,5.8,1,58.5,103.0,6.3,134,99.8,128.1,3.4
17,264.0,419.5,5.8,0,,,,155,98.2,127.6,3.6
