year,lat,long,name,energy
1,-2,-8,rabbit,51.0
1,-4,-1,rabbit,33.0
1,-4,5,wolf,325.8
1,0,7,debris,17.0
1,-5,4,wolf,239.0
1,-1,0,debris,28.0
1,0,0,grass,77.0
1,-2,5,grass,85.0
1,-1,6,grass,93.0
1,1,3,wolf,308.0
1,0,-1,debris,22.0
1,-10,2,debris,11.0
1,3,-4,grass,114.0
1,4,-2,grass,63.0
1,-1,-7,debris,41.0
1,-1,4,grass,62.0
1,-7,10,debris,5.0
1,5,0,wolf,277.5
1,-5,2,debris,53.0
1,-3,2,rabbit,117.0
1,-1,3,debris,37.0
1,2,-4,grass,104.0
1,3,1,grass,123.6
1,7,-5,debris,54.0
1,8,1,grass,75.0
1,3,-11,debris,63.0
1,1,-3,grass,84.0
1,3,8,grass,67.0
1,-7,6,debris,52.0
1,-1,-4,grass,59.0
1,0,1,debris,5.0
1,-4,-3,debris,28.0
1,-10,9,grass,109.0
1,-6,1,grass,89.0
1,-2,-1,rabbit,100.1
1,6,3,wolf,323.0
1,1,-8,debris,67.0
1,-5,-4,grass,88.0
1,-2,0,rabbit,52.5
1,-7,-2,debris,17.0
1,0,-4,rabbit,33.0
1,-3,-2,grass,82.0
1,5,-9,grass,95.0
1,4,3,rabbit,46.0
1,-9,1,rabbit,75.1
1,0,12,wolf,261.0
1,-10,3,grass,81.0
1,-1,1,debris,88.0
1,11,-3,debris,51.0
1,-3,-6,debris,43.0
1,1,-4,rabbit,65.4
1,-9,0,rabbit,36.5
1,0,5,wolf,225.5
1,-10,0,debris,59.0
1,0,2,debris,52.0
1,4,5,debris,37.0
1,2,-2,debris,-7.0
1,-3,0,debris,43.0
1,2,0,rabbit,87.3
1,-5,-3,debris,62.0
1,1,1,rabbit,45.0
1,0,3,wolf,231.0
1,3,5,debris,37.0
1,-6,10,debris,46.0
1,7,-4,debris,46.0
1,1,-6,wolf,270.0
1,5,6,debris,76.0
1,4,-1,debris,29.0
1,6,-4,debris,24.0
1,-2,7,debris,8.0
1,2,-1,debris,69.0
1,1,-5,debris,14.0
1,3,3,rabbit,58.4
1,1,-1,debris,18.0
1,-4,0,rabbit,63.3
1,-1,-3,wolf,253.0
1,10,-3,grass,56.0
1,3,0,grass,60.5
1,4,-5,grass,64.0
1,1,-2,debris,17.0
1,-8,-8,debris,29.0
1,6,-8,debris,34.0
1,3,-5,grass,97.0
1,-3,7,grass,88.0
1,3,-2,grass,99.0
1,7,3,grass,115.0
1,2,-9,debris,33.0
1,11,2,debris,60.0
1,6,0,debris,62.0
1,-7,-1,debris,30.0
1,-8,-9,grass,78.0
1,-1,-8,grass,108.0
2,0,7,debris,27.0
2,-3,1,rabbit,47.5
2,-1,0,debris,38.0
2,0,0,rabbit,88.5
2,5,3,rabbit,41.0
2,0,-7,rabbit,59.5
2,-2,5,grass,95.0
2,-1,6,grass,103.0
2,0,-1,debris,32.0
2,-10,2,debris,21.0
2,-8,0,rabbit,31.5
2,3,-4,grass,124.0
2,-4,3,rabbit,64.3
2,4,-2,grass,73.0
2,-1,-7,debris,51.0
2,-1,4,grass,72.0
2,-7,10,debris,15.0
2,-5,2,debris,63.0
2,2,2,rabbit,52.6
2,-3,2,rabbit,58.5
2,-1,3,debris,47.0
2,2,-4,rabbit,122.4
2,3,1,rabbit,154.1
2,7,-5,debris,64.0
2,8,1,grass,85.0
2,3,-11,debris,73.0
2,5,4,wolf,318.0
2,1,-3,rabbit,80.0
2,3,8,grass,77.0
2,-7,6,debris,62.0
