year,lat,long,name,energy
1,-8,-6,debris,44.0
1,2,-6,debris,70.0
1,-5,5,debris,4.0
1,-3,-2,rabbit,27.5
1,2,-8,rabbit,25.0
1,2,9,debris,62.0
1,5,-8,rabbit,56.2
1,-1,-3,debris,24.0
1,4,-6,debris,41.0
1,9,-6,debris,37.0
1,3,3,debris,49.0
1,1,2,rabbit,17.0
1,4,4,rabbit,35.0
1,4,2,debris,43.0
1,-8,-4,debris,40.0
1,-6,0,grass,54.0
1,-2,-10,debris,27.0
1,6,3,rabbit,78.5
1,-3,-1,wolf,309.5
1,-5,-4,rabbit,20.0
1,4,-2,grass,35.0
1,7,0,debris,56.0
1,-1,3,debris,17.0
1,5,-4,wolf,244.0
1,-4,-7,debris,46.0
1,-5,-5,rabbit,30.0
1,1,5,grass,92.0
1,3,-8,grass,94.0
1,-4,4,grass,100.0
1,1,-5,grass,71.0
1,7,8,debris,51.0
1,6,5,debris,38.0
1,3,9,rabbit,23.5
1,-2,9,debris,42.0
1,2,5,grass,77.0
1,1,1,wolf,279.5
1,0,-6,grass,74.0
1,7,-3,debris,38.0
1,1,-4,debris,65.0
1,1,-2,rabbit,18.0
1,4,3,rabbit,73.7
1,10,-8,wolf,278.0
1,-4,-2,rabbit,56.5
1,-6,-5,rabbit,10.0
1,0,-3,wolf,286.0
1,6,-3,wolf,309.0
1,-2,-9,grass,105.0
1,-2,4,debris,63.0
1,4,-8,rabbit,28.0
1,2,4,debris,34.0
1,-3,6,grass,56.0
1,-8,-10,debris,37.0
1,-3,0,debris,35.0
1,4,-7,debris,21.0
1,-7,-2,rabbit,31.0
1,-6,-3,rabbit,39.8
1,-1,-6,grass,111.0
1,8,0,debris,37.0
1,-5,2,debris,56.0
1,-3,8,grass,92.0
1,-4,-1,debris,-3.0
1,1,0,debris,40.0
1,5,-2,debris,17.0
1,-1,-2,debris,2.0
1,0,5,debris,49.0
1,-2,-3,rabbit,11.0
1,2,-3,debris,78.0
1,3,-6,debris,75.0
1,-1,-4,debris,30.0
1,-6,-6,debris,55.0
1,1,-10,debris,26.0
1,0,2,debris,34.0
1,-4,0,rabbit,40.6
1,-1,-13,debris,58.0
1,1,-3,debris,50.0
1,0,-1,rabbit,18.0
1,6,6,rabbit,4.0
1,-6,3,grass,86.0
1,3,10,rabbit,45.2
1,-5,-1,debris,41.0
1,0,1,debris,15.0
1,3,0,grass,80.0
2,5,2,rabbit,31.7
2,-8,-6,debris,54.0
2,2,-6,debris,80.0
2,-5,5,debris,14.0
2,5,-9,rabbit,51.2
2,1,-1,rabbit,13.0
2,2,9,debris,72.0
2,-1,-3,debris,34.0
2,4,-6,debris,51.0
2,4,-3,wolf,229.0
2,9,-6,debris,47.0
2,-2,-2,wolf,320.8
2,2,-8,rabbit,30.8
2,3,3,debris,59.0
2,4,2,debris,53.0
2,-8,-4,debris,50.0
2,-6,0,grass,64.0
2,-2,-10,debris,37.0
2,6,3,rabbit,39.2
2,0,-2,wolf,281.0
2,4,-2,grass,45.0
2,7,0,debris,66.0
2,-1,3,debris,27.0
2,2,3,rabbit,11.0
2,-4,-7,debris,56.0
2,1,5,grass,102.0
2,3,-8,rabbit,36.0
2,-4,4,grass,110.0
2,1,-5,grass,81.0
2,7,8,debris,61.0
2,-3,-3,rabbit,6.0
2,6,5,debris,48.0
2,4,11,rabbit,39.6
2,-5,0,rabbit,33.4
2,7,-4,wolf,304.0
2,-2,9,debris,52.0
2,2,5,grass,87.0
2,0,-6,grass,84.0
2,7,-3,debris,48.0
2,1,-4,debris,75.0
2,2,-1,rabbit,10.0
2,-8,-1,rabbit,26.0
2,-4,-6,rabbit,23.0
2,-2,-9,grass,115.0
2,-2,4,debris,73.0
2,2,4,debris,44.0
2,9,-9,wolf,269.0
2,-3,6,grass,66.0
2,-8,-10,debris,47.0
2,-3,0,debris,45.0
2,4,5,rabbit,30.0
2,4,-7,debris,31.0
2,-7,-2,rabbit,34.1
2,-1,-6,grass,121.0
2,-5,-6,rabbit,5.0
2,8,0,debris,47.0
2,5,3,rabbit,68.1
2,-5,2,debris,66.0
2,-3,8,grass,102.0
2,-4,-4,rabbit,15.0
2,-4,-1,debris,7.0
2,1,0,debris,50.0
2,5,-2,debris,27.0
2,-1,-2,debris,12.0
2,0,5,debris,59.0
2,4,9,rabbit,17.5
2,2,-3,debris,88.0
2,2,2,wolf,270.5
2,3,-6,debris,85.0
2,-5,-3,rabbit,51.5
2,-1,-4,debris,40.0
2,-6,-6,debris,65.0
2,1,-10,debris,36.0
2,0,2,debris,44.0
2,-1,-13,debris,68.0
2,1,-3,debris,60.0
2,3,-9,rabbit,23.0
2,-6,3,grass,96.0
2,-5,-1,debris,51.0
2,0,1,debris,25.0
2,3,0,grass,90.0
3,-8,-6,debris,64.0
3,2,-6,debris,90.0
3,-5,5,debris,24.0
3,2,-8,rabbit,31.0
3,6,-5,wolf,299.0
3,2,9,debris,82.0
3,-1,-3,debris,44.0
3,4,-6,debris,61.0
3,4,1,rabbit,23.8
3,9,-6,debris,57.0
3,3,3,debris,69.0
3,4,2,debris,63.0
3,-8,-4,debris,60.0
3,-6,0,rabbit,70.4
3,-2,-10,debris,47.0
3,4,-2,grass,55.0
3,7,0,debris,76.0
3,-1,3,debris,37.0
3,5,-4,wolf,214.0
3,-9,-1,rabbit,21.0
3,-4,-7,debris,66.0
3,7,4,rabbit,34.2
3,5,5,rabbit,25.0
3,3,2,wolf,273.0
3,1,5,grass,112.0
3,-4,4,grass,120.0
3,1,-5,grass,91.0
3,7,8,debris,71.0
3,6,5,debris,58.0
3,3,9,rabbit,11.5
3,-2,9,debris,62.0
3,2,5,grass,97.0
3,0,-6,grass,94.0
3,7,-3,debris,58.0
3,1,-4,debris,85.0
3,1,-2,wolf,285.0
3,-8,-1,rabbit,28.4
3,4,3,rabbit,26.1
3,-4,-2,wolf,284.6
3,-2,-9,grass,125.0
3,-2,4,debris,83.0
3,4,-8,rabbit,46.1
3,2,4,debris,54.0
3,-3,-6,rabbit,16.0
