name,alcohol,sugar,acid,oz,style,glass,melt,ingredients,all_text,x,y,features
Angostura Fizz,0.012531328320802,0.075125313283208,0.0151607411604239,3.99,fizz,coupe,0.33,Angostura bitters|lime juice|simple syrup|grenadine|heavy cream|egg white|soda water,Angostura|Fizz|fizz|coupe|Angostura|bitters|lime|juice|simple|syrup|grenadine|heavy|cream|egg|white|soda|water,0.1288284698944284,-0.13149345811840882,Angostura|Fizz|fizz|coupe
Blonde Redhead,0.0355603448275862,0.0892241379310345,0.00420258620689655,9.28,,,0.28,aperol|grapefruit juice|lemon juice|club soda,Blonde|Redhead|nan|nan|aperol|grapefruit|juice|lemon|juice|club|soda,-0.16083906549088814,0.8004610207005504,Blonde|Redhead|nan|nan
Trident,0.09102564102564098,0.0333333333333333,0.0,3.9,stirred,coupe,0.3,dry sherry|Cynar|aquavit|Fee Brothers peach bitters,Trident|stirred|coupe|dry|sherry|Cynar|aquavit|Fee|Brothers|peach|bitters,0.24847569862043584,-0.7214250491605898,Trident|stirred|coupe
Mojito,0.0987654320987654,0.0779012345679012,0.007407407407407409,6.075,shaken,highball,0.35,white rum|mint leaves|simple syrup|lime juice|club soda|mint sprig,Mojito|shaken|highball|white|rum|mint|leaves|simple|syrup|lime|juice|club|soda|mint|sprig,0.4689574187725587,0.5762959176592882,Mojito|shaken|highball
Cricket Ball,0.0991735537190083,0.0275482093663912,0.0,4.5375,bubbly,flute,0.1,sugar|Peychaud's bitters|Fee Brothers rhubarb bitters|Lillet Rouge|champagne|lemon twist,Cricket|Ball|bubbly|flute|sugar|Peychaud's|bitters|Fee|Brothers|rhubarb|bitters|Lillet|Rouge|champagne|lemon|twist,0.06707398380410645,0.6378061720081452,Cricket|Ball|bubbly|flute
Landing Gear Fizz,0.101424501424501,0.155441595441595,0.0127635327635328,4.3875,shaken,Collins,0.35,Punt e Mes vermouth|falernum|lime juice|sherry|lime wheel|mint sprig,Landing|Gear|Fizz|shaken|Collins|Punt|e|Mes|vermouth|falernum|lime|juice|sherry|lime|wheel|mint|sprig,0.3393385894521544,0.562948560928001,Landing|Gear|Fizz|shaken|Collins
Paloma,0.102564102564103,0.0740064102564103,0.00884615384615385,7.8,stirred,,0.3,tequila blanco|grapefruit juice|lime juice|simple syrup|club soda,Paloma|stirred|nan|tequila|blanco|grapefruit|juice|lime|juice|simple|syrup|club|soda,-0.3667008630849146,-0.3356044733551529,Paloma|stirred|nan
Scotch Toddy,0.10416666666666699,0.0596354166666667,0.00390625,7.68,hot,mug,0.28,blended scotch whiskey|honey|lemon juice|boiling water,Scotch|Toddy|hot|mug|blended|scotch|whiskey|honey|lemon|juice|boiling|water,-0.13452626588601735,0.3343778112816842,Scotch|Toddy|hot|mug
Southside Cocktail,0.10774410774410802,0.0637373737373737,0.00606060606060606,7.425,shaken,coupe,0.35,gin|mint leaves|lemon juice|simple syrup|club soda,Southside|Cocktail|shaken|coupe|gin|mint|leaves|lemon|juice|simple|syrup|club|soda,0.7383464857576475,0.09865071383971138,Southside|Cocktail|shaken|coupe
Tom Collins,0.10774410774410802,0.0637373737373737,0.00606060606060606,7.425,shaken,,0.35,gin|lemon juice|simple syrup|club soda,Tom|Collins|shaken|nan|gin|lemon|juice|simple|syrup|club|soda,0.22449891754749698,0.7895661055309565,Tom|Collins|shaken|nan
Southland Sipper,0.10974702380952402,0.0795386904761905,0.00669642857142857,6.72,,,0.28,strawberry|simple syrup|rye whiskey|Benedictine|lemon juice|Angostura bitters|club soda,Southland|Sipper|nan|nan|strawberry|simple|syrup|rye|whiskey|Benedictine|lemon|juice|Angostura|bitters|club|soda,-0.43625284433684836,0.66218187191771,Southland|Sipper|nan|nan
Ramos Gin Fizz,0.11278195488721801,0.0805451127819549,0.012593984962406,5.32,fizz,collins,0.33,Old Tom gin|egg white|heavy cream|orange flower water|simple syrup|lemon juice|lime juice|soda water|orange wheel,Ramos|Gin|Fizz|fizz|collins|Old|Tom|gin|egg|white|heavy|cream|orange|flower|water|simple|syrup|lemon|juice|lime|juice|soda|water|orange|wheel,-0.14920318474477842,0.042504666547458436,Ramos|Gin|Fizz|fizz|collins
Bitter Guiseppe,0.11715976331360901,0.0861538461538462,0.0049704142011834295,4.225,stirred,coupe,0.3,Cynar|sweet vermouth|lemon juice|orange bitter,Bitter|Guiseppe|stirred|coupe|Cynar|sweet|vermouth|lemon|juice|orange|bitter,0.1461293099050441,-0.6639664031446691,Bitter|Guiseppe|stirred|coupe
Planter's Punch,0.118518518518519,0.0647407407407407,0.0114567901234568,5.0625,shaken,old-fashioned,0.35,dark rum|pineapple juice|lime juice|orange juice|simple syrup|pineapple wedge|orange wheel|mint sprig,Planter's|Punch|shaken|old-fashioned|dark|rum|pineapple|juice|lime|juice|orange|juice|simple|syrup|pineapple|wedge|orange|wheel|mint|sprig,-0.747511517926349,0.11939518204617307,Planter's|Punch|shaken|old-fashioned
Apple Toddy,0.120967734131114,0.0432208074434157,0.0,6.61333376,hot,mug,0.28,applejack|maple syrup|Angostura bitters|cinnamon tea,Apple|Toddy|hot|mug|applejack|maple|syrup|Angostura|bitters|cinnamon|tea,-0.1334180500892418,0.33802024199543823,Apple|Toddy|hot|mug
Bourbon Toddy,0.120967734131114,0.0154990219335308,0.0,6.61333376,hot,mug,0.28,bourbon whiskey|simple syrup|Angostura bitters|boiling water,Bourbon|Toddy|hot|mug|bourbon|whiskey|simple|syrup|Angostura|bitters|boiling|water,-0.13763586472770012,0.3029697814967605,Bourbon|Toddy|hot|mug
Rum Toddy,0.120967734131114,0.0154990219335308,0.0,6.61333376,hot,mug,0.28,aged rum|simple syrup|Angostura bitters|boiling water,Rum|Toddy|hot|mug|aged|rum|simple|syrup|Angostura|bitters|boiling|water,-0.16607541436158318,0.32960211292764213,Rum|Toddy|hot|mug
Moscow Mule,0.12121212121212101,0.0717045454545455,0.0068181818181818205,6.6,built,,0.2,vodka|ginger syrup|lime juice|club soda,Moscow|Mule|built|nan|vodka|ginger|syrup|lime|juice|club|soda,-0.5506599705737157,0.5268154696012634,Moscow|Mule|built|nan
Jungle Bird,0.12163742690058502,0.10159844054580901,0.0102923976608187,6.4125,shaken,old-fashioned,0.35,blackstrap rum|pineapple juice|Campari|lime juice|simple syrup|pineapple wedge,Jungle|Bird|shaken|old-fashioned|blackstrap|rum|pineapple|juice|Campari|lime|juice|simple|syrup|pineapple|wedge,-0.7303749214714214,0.056183382594483855,Jungle|Bird|shaken|old-fashioned
