name,alcohol,sugar,acid,oz,style,glass,melt
Southside Cocktail,0.107744107744108,0.0637373737373737,0.00606060606060606,7.425,shaken,coupe,0.35
Southside Fizz,0.108695652173913,0.0851902173913043,0.00611413043478261,7.36,,,0.28
Ramos Gin Fizz,0.112781954887218,0.0805451127819549,0.012593984962406,5.32,fizz,collins,0.33
Moscow Mule,0.113636363636364,0.0672230113636364,0.00639204545454545,7.04,,,0.28
Tom Collins,0.113636363636364,0.0672230113636364,0.00639204545454545,7.04,,,0.28
French 75,0.134548611111111,0.0547743055555556,0.00520833333333333,5.76,,,0.28
Bitter French,0.137335526315789,0.0617598684210526,0.00493421052631579,6.08,,,0.28
Gargoyle and Spire,0.159090909090909,0.0349431818181818,0,4.4,bubbly,highball,0.1
Bee's Knees,0.169312169312169,0.10015873015873,0.00952380952380952,4.725,shaken,coupe,0.35
Gimlet,0.169312169312169,0.10015873015873,0.00952380952380952,4.725,shaken,coupe,0.35
Summer Negroni,0.174479166666667,0.0963541666666667,0.0015625,3.84,,,0.28
20th Century Cocktail,0.179259259259259,0.20162962962963,0.00977777777777778,5.0625,shaken,coupe,0.35
Abbey Cocktail,0.17962962962963,0.198888888888889,0.00259259259259259,4.05,shaken,coupe,0.35
Corpse Reviver #2,0.17962962962963,0.225185185185185,0.0122222222222222,4.05,shaken,coupe,0.35
Penicillin,0.186153846153846,0.0970769230769231,0.00923076923076923,4.875,stirred,coupe,0.3
Sawyer,0.197530864197531,0.0779012345679012,0.00740740740740741,4.05,shaken,old-fashioned,0.35
Negroni,0.223611111111111,0.111111111111111,0.00166666666666667,3.6,built,old-fashioned,0.2
Hanky Panky,0.22512336363833,0.0625,0.00222039450311637,4.05333376,,,0.28
Blackthorn,0.233653846153846,0.0692307692307692,0.00115384615384615,3.9,stirred,coupe,0.3
Last Word,0.235185185185185,0.114074074074074,0.0111111111111111,4.05,shaken,coupe,0.35
Martinez,0.239746095031738,0.0639648699340788,0.00175781228027346,3.41333376,,,0.28
Pegu Club,0.250712250712251,0.0325925925925926,0.00683760683760684,4.3875,shaken,coupe,0.35
Bijou,0.285897435897436,0.105128205128205,0.00153846153846154,3.9,stirred,coupe,0.3
Pink Gin,0.307692307692308,0,0,2.6,stirred,coupe,0.3
Alaska Cocktail,0.307692307692308,0.08,0,2.925,stirred,coupe,0.3
