grassNum,grassEn,grassRe,grassFa,wolfNum,wolfEn,wolfRe,wolfFa,rabbitNum,rabbitEn,rabbitRe,rabbitFa
10,77.8,127.2,0.0,1,308.0,386.0,26.0,11,68.5,91.4,9.1
10,87.8,127.2,0.0,1,282.0,386.0,26.0,13,59.6,93.1,9.8
11,92.6,126.7,0.5,1,256.0,386.0,26.0,13,49.8,93.1,9.8
10,101.9,127.8,0.5,1,230.0,386.0,26.0,13,46.6,93.6,9.5
10,104.9,127.8,0.5,1,204.0,386.0,26.0,11,49.5,95.9,8.5
11,108.0,127.6,1.0,1,178.0,386.0,26.0,11,48.9,97.3,8.6
13,101.1,128.9,1.6,1,152.0,386.0,26.0,11,45.2,97.3,8.6
14,103.1,128.7,1.8,1,126.0,386.0,26.0,12,40.3,98.7,9.0
17,93.4,128.7,2.4,1,100.0,386.0,26.0,11,35.2,99.2,8.6
19,93.7,128.9,2.7,1,74.0,386.0,26.0,10,30.2,97.9,8.1
20,97.2,129.4,2.8,1,48.0,386.0,26.0,9,25.2,101.5,7.4
21,103.9,129.3,2.9,1,22.0,386.0,26.0,9,17.8,101.5,7.4
25,95.6,128.2,3.3,0,,,,6,30.4,96.4,8.3
