year,lat,long,name,energy
1,6,-5,debris,81.0
1,1,-7,rabbit,64.0
1,6,-3,rabbit,92.9
1,2,0,debris,19.0
1,-5,-15,rabbit,96.7
1,-3,2,debris,59.0
1,-5,1,debris,60.0
1,7,2,debris,65.0
1,6,2,rabbit,47.0
1,-3,6,debris,69.0
1,-1,14,rabbit,55.0
1,1,-5,debris,13.0
1,7,-5,debris,44.0
1,-2,0,debris,41.0
1,4,3,rabbit,67.0
1,6,-2,rabbit,46.0
1,3,-3,rabbit,81.9
1,4,0,debris,30.0
1,2,-1,rabbit,44.0
1,1,2,rabbit,35.0
1,4,4,debris,58.0
1,-1,1,debris,56.0
1,-10,1,debris,30.0
1,-3,-5,debris,22.0
1,8,6,debris,45.0
1,0,-4,debris,42.0
1,-7,2,debris,53.0
1,2,6,debris,28.0
1,6,3,debris,27.0
1,-2,7,debris,40.0
1,-6,-15,rabbit,50.0
1,0,-2,debris,59.0
1,4,-1,rabbit,36.0
1,-5,-4,debris,-7.0
1,-2,2,rabbit,50.0
1,7,0,debris,56.0
1,5,-2,debris,15.0
1,-1,0,debris,33.0
1,0,5,debris,28.0
1,-7,-4,grass,112.0
1,1,-1,rabbit,92.5
1,2,-3,rabbit,40.0
1,14,-9,debris,51.0
1,-5,5,rabbit,55.0
1,0,10,rabbit,55.0
1,9,-4,debris,44.0
1,1,3,wolf,278.0
1,1,-10,debris,34.0
1,-11,-7,rabbit,6.0
1,3,-1,rabbit,51.0
1,2,-2,rabbit,46.0
1,-7,-2,rabbit,51.0
1,4,-9,rabbit,38.0
1,-6,-1,rabbit,48.0
1,-4,-6,debris,84.0
1,-2,-2,debris,13.0
1,-3,3,debris,68.0
1,1,1,wolf,166.5
1,-4,8,wolf,281.0
1,0,-6,wolf,234.0
1,5,1,rabbit,90.6
1,-4,-3,rabbit,39.0
1,-3,5,debris,48.0
1,-2,-12,debris,41.0
1,0,3,debris,25.0
1,2,1,wolf,297.2
2,6,-5,debris,91.0
2,7,-1,rabbit,30.0
2,5,-9,rabbit,27.0
2,2,0,debris,29.0
2,7,-5,debris,54.0
2,-2,0,debris,51.0
2,-2,-2,debris,23.0
2,0,5,debris,38.0
2,4,4,debris,68.0
2,4,2,rabbit,84.0
2,-1,1,debris,66.0
2,7,3,rabbit,40.0
2,-7,2,debris,63.0
2,6,3,debris,37.0
2,-2,7,debris,50.0
2,0,-2,debris,69.0
2,-5,-4,debris,3.0
2,4,-2,rabbit,21.0
2,7,0,debris,66.0
2,4,0,debris,40.0
2,0,-7,wolf,258.5
2,0,0,wolf,202.8
2,2,3,wolf,286.0
2,-7,-4,grass,122.0
2,3,2,wolf,326.2
2,-5,-14,rabbit,41.0
2,2,-4,rabbit,63.4
2,1,-5,debris,23.0
2,-6,0,rabbit,41.0
2,-3,2,debris,69.0
2,1,-2,rabbit,21.0
2,-8,-1,rabbit,39.0
2,-2,-12,debris,51.0
2,0,3,debris,35.0
2,-3,1,rabbit,29.0
2,0,11,rabbit,50.0
2,8,6,debris,55.0
2,-3,3,debris,78.0
2,-5,1,debris,70.0
2,7,2,debris,75.0
2,14,-9,debris,61.0
2,-3,6,debris,79.0
2,0,-4,debris,52.0
2,2,-1,rabbit,32.0
2,3,-2,rabbit,24.0
2,-2,14,rabbit,50.0
2,-3,5,debris,58.0
2,-10,1,debris,40.0
2,-3,-5,debris,32.0
2,2,6,debris,38.0
2,5,-2,debris,25.0
2,-1,0,debris,43.0
2,-4,6,rabbit,48.0
2,-3,9,wolf,243.0
2,9,-4,debris,54.0
2,1,-10,debris,44.0
2,-5,-2,rabbit,27.0
2,6,-4,rabbit,77.3
2,-6,-14,rabbit,88.5
2,-4,-6,debris,94.0
2,3,0,rabbit,44.0
3,6,-5,debris,45.5
3,6,4,rabbit,33.0
3,-6,-3,rabbit,15.0
3,0,-1,rabbit,2.0
3,2,0,debris,39.0
